rank,code,name,industry,score_100,score_raw,value_score,quality_score,growth_score,momentum_score,lowvol_score,pe,pb,fcf_yield,roe,gross_margin,cfo_to_np,debt_ratio,rev_yoy,profit_yoy,mom_raw,vol_raw,avg_amount_60_used,report_date,notice_date
1,603444,吉比特,信息传输、软件和信息技术服务业-互联网和相关服务,100.0,1.4524003920431643,0.7374920062269068,1.1018341974086587,1.1155309302720815,3.0191702963714424,1.663134324487392,15.82,4.76,0.0250118203881118,17.107249999999958,69.29161722114827,1.232916231639,21.9590068112,59.1671562193,84.6591012184,0.0866998474743344,0.0391,552755010.0,2025-09-30,2025-10-29
2,300850,新强联,制造业-通用设备制造业,99.97506234413966,1.3066422513445726,0.4095674527390478,0.5983477343490264,3.1433971075692435,2.2362246703277324,1.0599156765416955,22.31,2.88,0.0058181967839367,12.07,28.879739633424,0.115851899312,38.3726938888,66.52949351765,425.6579236461501,0.0866998474743344,0.0501,1097298631.84,2025-09-30,2025-10-22
3,300456,赛微电子,制造业-计算机、通信和其他电子设备制造业,99.9501246882793,1.2948997180413693,1.3314068725803945,1.1086086449930708,0.8008591555695698,2.1496257452301486,0.7941138401688426,14.89,4.6,-0.0007110705660086,17.107249999999958,38.319279806984,0.014151311002,20.2415386456,-17.3661193249,425.6579236461501,0.0866998474743344,0.0535,1554659444.45,2025-09-30,2025-10-28
4,600867,通化东宝,制造业-医药制造业,99.92518703241896,1.2720847624590008,0.991871083917684,1.0968633688472929,3.0173834700286246,0.901538165387669,0.6214282724356471,9.91,2.23,-0.0059987455529931,17.107249999999958,69.29161722114827,0.320106094333,12.4613023224,50.5531443028,425.6579236461501,0.0367624020887729,0.0512,365407686.0,2025-09-30,2025-10-28
5,300628,亿联网络,制造业-计算机、通信和其他电子设备制造业,99.9002493765586,1.2350426857543366,1.6531246680460043,1.7254105082228066,-0.2607661314618985,0.9525316812624816,1.5274694974278191,16.03,4.47,0.0524812491681745,17.107249999999958,63.945615100685,0.745449077123,11.3366710016,4.5889126391,-5.159198326,0.0135075774214803,0.0426,414664327.63,2025-09-30,2025-10-27
6,000651,格力电器,制造业-电气机械和器材制造业,99.87531172069824,1.2290852701945127,2.9174396799229134,0.6563301412748181,-0.3878027097321977,0.8458566218958348,1.9182538991200144,7.23,1.43,0.1062802675517649,15.16,28.438569558537,2.119320469767,62.7996518223,-6.6224512587,-2.2747713566,0.0224706904038209,0.0241,2058913574.66,2025-09-30,2025-10-31
7,000528,柳    工,制造业-专用设备制造业,99.85037406483792,1.227274088507845,2.876950534796114,-0.1645754103758048,0.2031316693724893,1.840156752168541,1.589079770819764,9.44,1.0,0.0762128878095967,8.15,22.251718329584,0.508320146754,61.073329962,12.7050216147,10.3714123282,0.0598994694219492,0.04,483598786.26,2025-09-30,2025-10-25
8,002701,奥瑞金,制造业-金属制品业,99.82543640897757,1.2086225729187672,2.7126481995564182,0.2096305452485178,1.2769274546881797,0.7946604378709116,1.1710015367769822,8.76,1.28,0.1067476458940499,11.38,13.516226931392,1.500739136436,65.6690467339,66.52949351765,41.4010919306,0.0067097718677564,0.0481,189990649.95,2025-09-30,2025-10-31
9,600060,海信视像,制造业-计算机、通信和其他电子设备制造业,99.8004987531172,1.197613474722332,2.734551399491526,0.0753451255688123,-0.1353010687985016,1.5128650837540505,2.0909423074777207,12.77,1.36,0.01803835636386,8.08,15.664253869904,1.802460690549,42.2733626643,5.3632148656,24.2722824457,0.0477672692445827,0.0277,253798095.0,2025-09-30,2025-10-30
10,002508,老板电器,制造业-电气机械和器材制造业,99.77556109725684,1.1757565328477422,2.1384952802926365,1.1453906546646155,-0.2563020202176129,0.8669956926841366,1.6256168087101306,12.16,1.64,0.1067476458940499,9.98,51.798298127432,0.637121346459,31.3996090137,-1.1362313566,-3.7310389924,0.0237524950099801,0.0391,138444135.97,2025-09-30,2025-10-30
