rank,code,name,industry,score_100,composite_score,rps_score,rps20,rps90,ret_20d_pct,ret_90d_pct,close_today,amount_today,trade_date
1,301526,国际复材,玻璃,100.0,104.29476274087408,99.77690559801694,99.81408799834745,99.75211733112992,97.28,373.97,44.98,9193061597.279999,20260624
2,600487,亨通光电,通信设备,99.6415770609319,104.28953949892288,99.34311092749431,99.44226399504234,99.2770088824623,71.47,228.06,119.02,19383070424.0,20260624
3,301217,铜冠铜箔,元器件,99.2831541218638,104.28663646826216,99.82235075397645,99.58686221854988,99.9793431109275,82.23,496.84,186.69,8572052134.719999,20260624
4,300285,国瓷材料,陶瓷,98.9247311827957,104.0352716380913,99.2852716380913,99.66948977483992,99.02912621359224,84.73,195.97,91.72,11786839895.400002,20260624
5,000636,风华高科,元器件,98.56630824372759,104.00689792545815,99.47118363974386,99.48357777318736,99.46292088411485,73.57,261.9,72.38,9351229258.95,20260624
6,601869,长飞光纤,通信设备,98.2078853046595,103.94731755540472,99.26874612683329,99.07043999173725,99.40095021689733,59.37,251.05,580.0,10782440767.0,20260624
7,002428,云南锗业,小金属,97.84946236559139,103.85321804821908,98.99607519107622,98.45073331956208,99.35963643875232,48.12,245.76,123.09,14195387542.199999,20260624
8,600176,中国巨石,玻璃,97.4910394265233,103.79165683005282,99.09522825862425,98.9464986573022,99.19438132617228,57.03,213.29,64.82,10807399544.0,20260624
9,600522,中天科技,通信设备,97.1326164874552,103.7469973736241,98.81842594505267,98.78124354472216,98.84321421193968,52.94,176.51,61.91,18535356007.0,20260624
10,603773,沃格光电,元器件,96.7741935483871,103.58699870156697,99.6405701301384,99.6281759966949,99.6488328857674,82.84,317.28,167.37,4795051513.0,20260624
11,002484,江海股份,元器件,96.415770609319,103.50102546699324,99.32245403842181,99.23569510431729,99.38029332782483,64.25,246.24,100.93,5629013883.809999,20260624
12,600353,旭光电子,元器件,96.05734767025089,103.36376781656682,99.36376781656682,99.95868622185499,98.96715554637471,135.01,188.28,52.9,5169845229.0,20260624
13,603186,华正新材,元器件,95.6989247311828,103.32047319030896,99.62404461888039,99.71080355298491,99.56620532947737,88.87,287.74,250.44,3967498194.0,20260624
14,300319,麦捷科技,元器件,95.3405017921147,103.26007392215304,99.09935963643875,99.85540177649246,98.5953315430696,113.15,153.21,31.12,5612644043.35,20260624
15,600206,有研新材,半导体,94.98207885304659,103.21275120252605,98.85560834538319,99.52489155133237,98.40941954141707,77.87,140.52,51.76,7588295012.0,20260624
16,002636,金安国纪,元器件,94.6236559139785,103.16989922389116,99.83061350960546,99.9793431109275,99.73146044205743,143.55,373.66,115.81,2977610609.9100003,20260624
17,600105,永鼎股份,通信设备,94.26523297491039,103.13210449434887,98.47139020863457,98.47139020863457,98.47139020863457,48.53,143.76,68.74,10511730997.0,20260624
18,603618,杭电股份,电气设备,93.9068100358423,103.09751527134298,99.45465812848585,98.88452799008469,99.83474488741996,54.95,398.44,54.48,3842261069.0,20260624
19,600183,生益科技,元器件,93.54838709677419,103.06279325405022,98.22350753976451,97.47985953315431,98.71927287750465,38.33,169.21,177.3,13596962090.0,20260624
20,600869,远东股份,电气设备,93.1899641577061,103.01447826600172,99.21090683743029,99.6075191076224,98.9464986573022,82.46,186.79,37.77,4099827173.0,20260624
