rank,code,name,industry,score_100,score_raw,momentum_score,activity_score,stability_score,liquidity_score,ret_5,ret_10,ret_20,breakout_20,amount_ratio_5_20,turnover_5,turnover_20_used,vol_10,win_rate_20,max_drawdown_20,vol_base,accel,avg_amount_20_used,close,trade_date
1,300776,帝尔激光,制造业-专用设备制造业,100.0,1.9987894001029036,2.912760515692041,2.1668698170409106,0.2563479887235094,1.6046542788077176,0.22602384928555325,0.35948879551820395,0.4387585139870902,0.26601184850163045,2.1620231364458893,12.636000000000001,6.3149999999999995,0.06702936956097273,0.65,-0.04793889108389304,0.026107270167883247,0.300823385166586,981597605.2709999,114.05,2026-04-22
2,603278,大业股份,制造业-金属制品业,99.91296779808529,1.904439622446541,2.542530557099949,3.092344678669556,0.6798948586548565,-0.14425161194532665,0.20604395604395598,0.22969187675070013,0.21159153633854655,0.16476518970549203,2.1620231364458893,15.419999999999998,5.171,0.03516516809942161,0.65,-0.046363636363636385,0.017073716440243393,0.20144414003659628,216041552.85,12.79,2026-04-22
3,603139,康惠股份,制造业-医药制造业,99.82593559617058,1.89892489632438,3.2704346551781915,2.640003662679461,-0.22416733852385962,-0.16277609141326663,0.14129032258064522,0.3050534857985985,0.27633477633477654,0.22992421608843783,1.7511381438297398,7.502000000000001,4.763999999999999,0.043970404790173556,0.5,-0.059816513761467904,0.03334490246630085,0.022964204254526832,142570919.65,35.48,2026-04-22
4,300540,蜀道装备,制造业-通用设备制造业,99.73890339425587,1.8409639711878665,2.9414001336704283,2.42936382204348,0.3365959520462191,-0.06837485466945745,0.22602384928555325,0.35948879551820395,0.4387585139870902,0.26601184850163045,2.1620231364458893,15.445849999999986,5.7265,0.058967875363559734,0.65,-0.042786069651741476,0.01867451029501658,0.4373498338455757,299067603.8255,30.15,2026-04-22
5,600961,株冶集团,制造业-有色金属冶炼和压延加工业,99.65187119234116,1.7159852703456344,3.114867009121498,2.087133010237058,-0.3128264165300919,0.07213664962526115,0.22602384928555325,0.35948879551820395,0.4387585139870902,0.26601184850163045,2.1620231364458893,9.440000000000001,4.0105,0.049501811575918736,0.6,-0.05186020293122873,0.03416551392994866,0.256262059980068,729350710.55,28.19,2026-04-22
6,603083,剑桥科技,制造业-计算机、通信和其他电子设备制造业,99.56483899042647,1.6569482784149625,1.9792875063722837,1.7867586463534528,0.31917703458378305,2.3647213824061937,0.22602384928555325,0.35948879551820395,0.4387585139870902,0.26601184850163045,1.7074140130753361,15.445849999999986,12.288499999999999,0.03634934315614474,0.7,-0.03943547450342677,0.035848642644554514,0.050813066694491926,3528735690.7594357,163.3,2026-04-22
7,300959,线上线下,信息传输、软件和信息技术服务业-软件和信息技术服务业,99.47780678851174,1.6341841144036722,2.9686406513723727,1.7603868022876625,0.052861513103143215,-0.026274328918807904,0.22602384928555325,0.3420682602582128,0.34086845466155813,0.26601184850163045,1.7786859807385662,10.024000000000001,6.1685,0.05160691431893489,0.6,-0.056292251690067574,0.026772269094964128,0.1580885256981852,270829964.419,99.89,2026-04-22
8,300890,翔丰华,制造业-非金属矿物制品业,99.39077458659705,1.6209671658553195,2.4650842268470683,2.505095066019445,-0.25295379006955254,0.3950031108369425,0.22602384928555325,0.35948879551820395,0.4184350132625996,0.26601184850163045,2.1620231364458893,15.445849999999986,8.596,0.05929310602200318,0.65,-0.08306911857958144,0.02821924539677292,0.2721236090822947,325990591.6025,43.72,2026-04-22
9,603285,键邦股份,制造业-化学原料和化学制品制造业,99.30374238468234,1.575954830734598,2.4203847978474258,2.5361531130027144,-0.3412014223783993,0.2800194521375267,0.17266387726638777,0.35948879551820395,0.3186951066499373,0.24253709286516534,1.7267936704114826,11.48,7.487,0.03441273265732356,0.45,-0.076103500761035,0.03610576494836901,0.048134391695496825,165287913.6,42.42,2026-04-22
10,002108,沧州明珠,制造业-橡胶和塑料制品业,99.21671018276761,1.5263517555148416,1.3339732073837496,2.62777897925903,0.6812208245309308,1.3304904189359865,0.1932938856015778,0.2630480167014613,0.32675438596491246,0.17487134673269256,2.1620231364458893,15.445849999999986,7.683999999999999,0.032789816770300156,0.7,-0.06653225806451613,0.026370698606626136,0.08145178033841982,683344393.6745,6.02,2026-04-22
11,600206,有研新材,制造业-有色金属冶炼和压延加工业,99.12967798085292,1.458338099315389,1.749272575417461,2.2352257859081286,0.5416557411591765,0.6099431629302482,0.161218092252575,0.21395131086142327,0.2698334965719882,0.16659918117604722,2.1607461602018034,10.565999999999999,5.308,0.043205852634563065,0.7,-0.04786729857819916,0.024319460983920207,0.06768234298714915,1051569035.85,26.05,2026-04-22
12,000751,锌业股份,制造业-有色金属冶炼和压延加工业,99.04264577893821,1.4444605674733002,2.0210930989562357,2.2484084269710944,0.29440543593027724,0.10026755974651153,0.18430656934306566,0.20631970260223054,0.21308411214953282,0.1793567145193533,2.1620231364458893,10.65,4.860999999999999,0.03655335277090726,0.6,-0.05535055350553497,0.02571481783330328,0.16000750392250485,393546118.67399997,6.53,2026-04-22
13,000829,天音控股,批发和零售业-批发业,98.9556135770235,1.4262190351206665,1.9460367424467209,1.7751880429340896,1.369087087375176,-0.46540060044386333,0.13703703703703685,0.15739868049010375,0.1910766246362754,0.14992040453225952,2.038916983339852,5.958,3.0505000000000004,0.02415523036605451,0.65,-0.029721955896452545,0.01378294147431029,0.08951036390415612,342050744.3435,12.36,2026-04-22
14,603738,泰晶科技,制造业-计算机、通信和其他电子设备制造业,98.86858137510879,1.4132299411121745,2.48436945868045,1.4876843408390887,-0.8046229224384935,1.389904379452806,0.22602384928555325,0.35948879551820395,0.4387585139870902,0.26601184850163045,1.5344570174141012,15.445849999999986,13.167000000000002,0.04457528545465986,0.65,-0.09720670391061459,0.05077464965458705,0.255356065026328,1448502117.15,36.89,2026-04-22
15,301319,唯特偶,制造业-计算机、通信和其他电子设备制造业,98.78154917319408,1.3653260983612343,2.156570578313011,2.3235826057453233,-0.33655354278104327,-0.07258050562728272,0.22602384928555325,0.35948879551820395,0.4387585139870902,0.26601184850163045,2.1620231364458893,13.113999999999999,6.641,0.05570596962508338,0.7,-0.06928881774525486,0.037245372109155454,0.12260737833544799,370594324.82350004,78.65,2026-04-22
16,601778,晶科科技,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业,98.69451697127938,1.3362230369711368,0.8200172549104757,3.2181095559428057,-0.6953516137979505,2.2850604585389007,0.0795795795795795,0.35948879551820395,0.2145270270270272,0.2653995072157691,2.075861410236079,15.445849999999986,12.26,0.054882036884852825,0.55,-0.17223198594024614,0.052749415578859364,-0.04542042042042049,2674842635.65,6.85,2026-04-22
17,600330,天通股份,制造业-计算机、通信和其他电子设备制造业,98.60748476936466,1.2984143262416996,2.031811830777984,1.470362679394503,-0.9488829702634675,2.0525034542304907,0.22602384928555325,0.30355329949238574,0.4387585139870902,0.26601184850163045,1.5444608239994755,15.122,12.036,0.05362437182587904,0.5,-0.06964285714285712,0.045452768018754384,0.11264041651126133,3001519232.45,25.79,2026-04-22
18,301629,矽电股份,制造业-专用设备制造业,98.52045256744995,1.2697022316868,1.8006478154694754,2.067798217505408,-0.6859074465450343,1.1311669362110983,0.16598397150489763,0.2711140449656353,0.3142891556590517,0.22628256757009857,1.8602229073964907,15.445849999999986,9.306999999999999,0.0625994027175146,0.6,-0.05611598938125373,0.05101632683633107,0.038790812955092235,499086354.8785,319.0,2026-04-22
19,301310,鑫宏业,制造业-汽车制造业,98.43342036553526,1.2533479270664465,1.4088021984933723,2.1897272815802022,-0.3297374916357252,1.3889515040079474,0.14304029304029298,0.35948879551820395,0.4387585139870902,0.26601184850163045,1.5575855095944504,15.445849999999986,12.547,0.0571408770837907,0.7,-0.05036518563603165,0.039044591745347794,-0.3656637688552584,280528976.3435,63.0,2026-04-22
20,600186,莲花控股,制造业-食品制造业,98.34638816362053,1.2464415621049953,1.5344131930223155,1.3301646564860101,-0.6872711995735319,2.9172624045951534,0.16093366093366068,0.2650602409638554,0.34423897581792295,0.2435846821950256,1.2130381605543252,14.175999999999998,12.756499999999999,0.03963573955363838,0.45,-0.06089309878213789,0.036766717258147355,0.003038924091555373,1737798692.2,9.45,2026-04-22
