rank,code,name,industry,buy_signal_flag,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,ma_bull_20_60,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,money_flow_bias_20,price_volume_sync_10,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,chip_tightness_20,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used,quote_only_fallback_used,pass_momentum_floor,pass_next_2_3d_setup
1,600999,招商证券,证券,可买入,100.0,0.9797728995495429,0.9090788508797202,1.8714072231126289,1.3325033346622002,0.4287652212363397,0.5465523515718818,0.8892830205377065,0.03803486529318545,0.11079706048615012,0.16341030195381867,0.1332179930795847,0.11142533936651589,0.018134715025906578,0.978395061728395,0.07194570135746603,0.05214932126696836,0.07434752225564378,0.005013098356751607,2.177266984400936,1.505315159198667,1.5752898379488796,0.3843786617096204,0.496172660315884,6.2356,6.2356,0.0,0.022907122291667397,0.021654032287297436,0.012248226300644262,0.65,-0.05484051482932295,0.015094282523908266,0.031851156129294074,-0.02179703196606259,0.0906125160801523,0.38107229784991814,0.628903694397128,0.25225572589272716,1611218555.25,20.77,2026-06-25,False,False,True,True
2,002861,瀛通通讯,元器件,可买入,88.88888888888889,0.8034186191641208,0.9335029552028012,0.6774151750666632,0.8208243319429005,1.0016538927113365,1.0520748061612153,-0.8199981009742796,0.0912052117263844,0.12984822934232731,0.12353269983230852,0.06971793507184687,0.09671259036966307,0.025510204081632626,0.8967551622418886,0.02196153321511396,0.012576728959214243,0.07379306304194988,0.00033353059363726165,2.608403143656912,1.794245439209237,1.373440984582191,0.16335645424344847,0.4964009638577537,5.9105,5.9105,0.0,0.026062574133534525,0.027725646975205742,0.013322542617956575,0.5,-0.08133472367049,0.023472039829135857,0.0587437434059581,-0.03758072125986475,0.1830680271070958,0.152574022227855,0.7176061314062712,0.28239386859372884,124255006.501,21.64,2026-06-25,False,False,True,True
3,002925,盈趣科技,元器件,可买入,77.77777777777779,0.6765654426244039,0.6067826224804974,0.5143315670841622,0.5661041581061099,0.8693928680134546,0.8597578413676757,0.14534937681181404,0.06623134328358193,0.09325681492109039,0.01554864504664577,0.11024769305488102,0.06839903722571439,-0.008673026886383273,0.9509803921568629,0.022877573434907372,0.018316079732666423,0.04733351281235487,0.0037786378174070614,1.6483167976004134,1.3704848564051335,1.1914872332357795,0.08173154976862684,0.7011139974393839,13.149,13.149,0.0,0.02584031737998748,0.03333308317369934,0.010480121165401885,0.4,-0.09194854692710819,0.03445259367573948,0.05139271576858132,-0.04122864251287622,0.0777152899089486,0.22090037869943227,0.7735077129443327,0.18608824665162688,395243770.0680001,24.6,2026-06-25,False,False,True,True
4,300538,同益股份,塑料,可买入,66.66666666666666,0.6511846310896752,1.0809180373786116,0.5130492492315509,0.831055770593905,0.9691050487830473,0.4370215657559081,-0.053690893192881894,0.051466519092418395,0.1390887290167866,0.07587768969422415,0.0963646855164455,0.08039108872860834,-0.007314524555903867,0.9567901234567899,0.03581074064633305,0.026576239972147465,0.07171594380849133,0.0024000353442640643,2.176002447547452,1.374717925735705,1.200396085658374,0.33711050994983355,0.681215371655393,12.2401,12.2401,0.0,0.037349099411383674,0.03735214000552405,0.0193694612070009,0.6,-0.12950026867275666,0.03728938308188649,0.06979654874069796,-0.050292249345411086,0.17659594194234918,0.14962727303217727,0.7349987674047329,0.23264829141879662,246200134.588,17.16,2026-06-25,False,False,True,True
5,600179,安通控股,水运,可买入,55.55555555555556,0.5336346888299299,0.36261096232321993,0.5894804971481483,0.46243355764618843,0.6326188016051609,0.7640651955800066,-0.6191973112194213,0.04814004376367609,0.05043859649122817,0.04357298474945548,0.08863636363636362,0.0655099543988431,0.004192872117400492,0.9285714285714286,0.03792681570459311,0.027249471693915915,0.01746510750660124,0.00352064679550056,1.459976942818006,1.2512483140819488,1.1320414586751482,0.28815874646982614,0.8606251190225754,2.6093,2.6093,0.0,0.02521648063640872,0.021273071622779888,0.00575754361832949,0.55,-0.05228758169934644,0.020697391933509574,0.04084545720787848,-0.02875661804325714,0.014074960127592018,0.24072894371073417,0.6373882696251112,0.24539145065460904,225885843.35,4.61,2026-06-25,False,False,True,True
6,301500,飞南资源,环境保护,可买入,44.44444444444444,0.504324248503485,0.33449870078397825,1.0321598963631788,0.6414696268388265,0.6570872162009835,0.06073322939313105,0.11144939850675789,0.05898975626986935,0.06312056737588656,0.16744548286604366,0.10668143226282756,0.13511159911402237,0.02111716621253401,0.9924139942287613,0.07566779622512931,0.05043636294795833,0.02691896445582076,0.004847797133254911,2.2544303111125177,1.4316123571319082,1.5962708887454027,0.20293273311808577,0.8539882632578915,9.4162,9.4162,0.0,0.057542563256666845,0.04620622020334369,0.01903343848070553,0.5,-0.11609792284866483,0.04908049300804659,0.054025899638281166,-0.05105865566014042,0.02214603802926418,0.18115712529050382,0.60619321649036,0.2661472090415551,403878651.9290001,27.5,2026-06-25,False,False,True,True
7,601688,华泰证券,证券,可买入,33.33333333333333,0.48642158575965105,0.1662405665875049,1.4136432366805507,0.7150977414284451,-0.060467590987672376,0.039169455746876594,1.0300708015292488,0.04107579462102695,0.06609914872308464,0.12944297082228107,0.17235682819383258,0.1081327260897853,0.01866028708133971,0.9739884393063584,0.06232921275211467,0.05004554326610293,0.01691102524744581,0.006683853420147625,2.089538018215442,1.362450814097935,1.3807356386828025,0.34502925960565867,0.43082805961945986,3.4364,3.4364,0.0,0.032740875718397816,0.025962601334571064,0.013004736048486292,0.6,-0.044009779951100225,0.016665188370908576,0.034226103763203924,-0.023689554527826714,-0.0335704548011444,0.38107229784991814,0.4665647181941422,0.3383491622516529,2505742237.45,21.4,2026-06-25,False,False,True,True
8,605020,永和股份,化工原料,可买入,22.22222222222222,0.4853114917811137,0.5411443515633243,0.7297739533220013,0.6241413763371422,0.2698568054819413,0.23918712192969893,1.0437507722141834,0.0642695356738392,0.11576135351736427,0.09082994776552522,0.11576135351736427,0.09677406681484269,0.008585994097129124,0.9924139942287613,0.0480480042561624,0.03021484890534478,0.1573979187480461,0.003119689128188722,1.984708780905394,1.6274087142153617,1.4790774107752809,0.11416019561386712,0.05720133796243433,15.8024,15.8024,0.0,0.0506252915058581,0.04018071510939149,0.02162008773410888,0.55,-0.10955056179775291,0.027856636572347944,0.06513128528087596,-0.04276649605575915,0.11576135351736427,0.17976170159495125,0.7079737287338198,0.11360061528950409,1131948891.25,38.88,2026-06-25,False,False,True,True
9,002194,武汉凡谷,通信设备,可买入,11.11111111111111,0.3022913788682612,0.4787235217646554,0.5546248313947292,0.5121200980018878,0.21273680238547982,0.10116808536723092,-0.16747053699702558,-0.013364779874213806,0.10378188214599837,0.03377265238879734,0.011281224818694646,0.060100519491489646,-0.029389017788089666,0.8146341463414638,0.04422012923934626,0.03702327152933225,0.029598921567206338,0.004127605833013903,0.9708176117276771,1.196858627788658,1.1713389844763946,0.13184872364477163,0.5358653557070442,8.1609,8.1609,0.0,0.04906960655717591,0.04755057258285304,0.023620970549216098,0.5,-0.10031847133757965,0.04776748988109702,0.06866995978676925,-0.05612847784336591,0.1875852665134441,0.015179966836992105,0.6808732795443765,0.2300569530137631,581938096.585,11.66,2026-06-25,False,False,True,True
10,002876,三利谱,元器件,可买入,0.0,0.6115185903031298,0.5072829076252174,0.5541973883355308,0.5279252791377553,0.7254346194345542,0.7512991586227687,0.1596951649226005,0.02254226675015647,0.10226122173472829,-0.0036607687614400586,0.09413735343383567,0.06207928197456991,-0.02681764004767595,0.8623853211009166,0.051478000715423855,0.04133198920360308,0.04591729051893911,0.006079880524699573,1.0225796068719384,1.0733886527808478,1.0779000258585805,0.178927585772737,0.6044282604347099,13.801,13.801,0.0,0.02838333100244504,0.03595144277259254,0.020195355595061977,0.55,-0.10283454185893215,0.037972464527999635,0.0586371701869973,-0.0462383467915987,0.10963140598933474,0.17006462693805893,0.7475964145933187,0.20795914096223628,287824314.4515,34.94,2026-06-25,False,False,True,True
