rank,code,name,industry,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used,quote_only_fallback_used,pass_momentum_floor,pass_next_2_3d_setup
1,601208,东材科技,化工原料,100.0,2.0504073810312167,2.240136148456111,2.9016316803558078,2.5179642718539834,2.449476522565825,-1.817811050214528,3.019387263687657,,,,,,,,,,,,,,,10.26,,,,,,,,,,,,,4979690000.0,49.6,2026-05-13,False,True,True,True
2,002432,九安医疗,医疗保健,97.95918367346938,1.9635849192852244,2.326726339823211,3.0626912358080736,2.6358315961368532,2.230056077871068,-2.588545056363675,2.6452746843555617,,,,,,,,,,,,,,,8.74,,,,,,,,,,,,,2826888200.0,77.92,2026-05-13,False,True,True,True
3,300745,欣锐科技,汽车配件,95.91836734693877,1.9330326825342534,2.9405261759776726,3.613243634535349,3.2230675085718965,1.2226687993753398,-2.9007349718030655,0.7376803289582189,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,613443900.0,48.58,2026-05-13,False,True,True,True
4,600330,天通股份,专用机械,93.87755102040816,1.907005940312144,2.275840225977148,2.436539975770284,2.343334120890265,2.3528248254538977,-2.099921526123424,2.6315007377749637,,,,,,,,,,,,,,,16.43,,,,,,,,,,,,,6926168600.0,35.07,2026-05-13,False,True,True,True
5,301588,美新科技,家居用品,91.83673469387756,1.9002578539650974,2.331029694164275,2.3571209491752056,2.3419880212688655,2.607326730055374,-2.8448252090811876,2.594461954323232,,,,,,,,,,,,,,,14.39,,,,,,,,,,,,,377241700.0,36.28,2026-05-13,False,True,True,True
6,300819,聚杰微纤,纺织,89.79591836734694,1.8049858989060388,2.0298848745088445,2.549844695175464,2.2482679991888244,2.434088223899187,-2.4986546022248786,2.652441549457061,,,,,,,,,,,,,,,12.13,,,,,,,,,,,,,1424184300.0,86.8,2026-05-13,False,True,True,True
7,301179,泽宇智能,软件服务,87.75510204081633,1.768444298589779,2.0182760206516765,3.7665123010946484,2.7525352584377245,1.1957186376862328,-0.7650949656866193,0.5388863207167371,,,,,,,,,,,,,,,10.21,,,,,,,,,,,,,653043300.0,27.3,2026-05-13,False,True,True,True
8,601868,中国能建,建筑工程,85.71428571428571,1.7519446278364843,2.3858162831902936,1.6200463112519023,2.064192894976169,1.8318544969563868,-1.8864370591663726,3.4548679919720557,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,6415124000.0,3.53,2026-05-13,False,True,True,True
9,688525,佰维存储,未知行业,83.6734693877551,1.7239847266512651,2.0376914455857538,2.1555440716894214,2.087189548549294,2.2191763166518506,-1.9167528838891514,2.320489316560394,,,,,,,,,,,,,,,10.16,,,,,,,,,,,,,15001176100.000002,328.49,2026-05-13,False,True,True,True
10,300518,新迅达,互联网,81.63265306122449,1.7123963938296507,2.4879944361529676,3.671208001392254,2.9849441335534674,1.17770397603436,-3.067457709278358,0.5119684512398058,,,,,,,,,,,,,,,11.52,,,,,,,,,,,,,697380399.9999999,30.37,2026-05-13,False,True,True,True
11,603002,宏昌电子,化工原料,79.59183673469387,1.6795858484889254,2.717297126195546,2.88051387137202,2.7858481591696647,1.7172942046417252,-3.0159413488215683,1.8212014067995967,,,,,,,,,,,,,,,9.37,,,,,,,,,,,,,1694558100.0,16.19,2026-05-13,False,True,True,True
12,300769,德方纳米,化工原料,77.55102040816327,1.5834795438611222,1.196979151739008,2.6118658479343906,1.7912315641410685,2.450703739416509,-1.204921320542465,2.382261368280548,,,,,,,,,,,,,,,14.1,,,,,,,,,,,,,2807174699.9999995,78.6,2026-05-13,False,True,True,True
13,002317,众生药业,中成药,75.51020408163265,1.5729660652179964,1.127321044048574,0.7414018492903919,0.9652349822501374,3.4534610993245485,-0.8985495910306472,3.784386485174971,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,1654880600.0,21.83,2026-05-13,False,True,True,True
14,300179,四方达,矿物制品,73.46938775510205,1.5475161175981473,2.0922961897112717,1.6255945611657046,1.8962815057221334,2.1486081733064797,-2.372663106122529,1.629084098804735,,,,,,,,,,,,,,,14.39,,,,,,,,,,,,,1547439000.0,29.34,2026-05-13,False,True,True,True
15,301312,智立方,专用机械,71.42857142857143,1.5341075628816687,2.061780324594051,2.085317638319673,2.071665996358812,1.4932940304747382,-1.1603661055341394,0.8408115815683815,,,,,,,,,,,,,,,12.11,,,,,,,,,,,,,916059500.0,129.42,2026-05-13,False,True,True,True
16,002930,宏川智慧,仓储物流,69.38775510204081,1.527911321867675,2.0798060223752706,1.8534507180485067,1.9847367945580294,1.8187354838600616,-2.143728411648402,1.6441331376625945,,,,,,,,,,,,,,,9.33,,,,,,,,,,,,,663566100.0,16.65,2026-05-13,False,True,True,True
17,600208,衢州发展,全国地产,67.3469387755102,1.5177233114434114,1.9853701936773573,2.5018244314944713,2.202280973560545,0.9297755455131209,-0.8956249443634202,1.6659299323851584,,,,,,,,,,,,,,,3.49,,,,,,,,,,,,,1552441900.0,5.3,2026-05-13,False,True,True,True
18,300342,天银机电,家用电器,65.3061224489796,1.515204627707782,1.3296066316377755,1.904225073932202,1.5709463774014347,2.171324509729807,-0.3552996450388414,2.140356854680843,,,,,,,,,,,,,,,10.64,,,,,,,,,,,,,2838068700.0,63.83,2026-05-13,False,True,True,True
19,603688,石英股份,矿物制品,63.26530612244898,1.514536767154,1.4140422290610632,1.9524605555437606,1.6401779261837959,2.1729199261750125,-1.1105299711969283,2.6458057631361025,,,,,,,,,,,,,,,9.43,,,,,,,,,,,,,3791721700.0,76.19,2026-05-13,False,True,True,True
20,600367,红星发展,化工原料,61.224489795918366,1.5112162357575887,2.20729876917685,1.4233757084614602,1.8780510836763862,1.9666465535805135,-2.264805815464077,1.373808897788891,,,,,,,,,,,,,,,14.33,,,,,,,,,,,,,1133064800.0,24.91,2026-05-13,False,True,True,True
