rank,code,name,industry,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used,quote_only_fallback_used,pass_momentum_floor,pass_next_2_3d_setup
1,601208,东材科技,化工原料,100.0,2.160996417671566,2.5675311015669795,3.1950283599422598,2.831079950084597,2.3251099999954556,-2.228103789559086,2.871870486347117,,,,,,,,,,,,,,,13.3483,,,,,,,,,,,,,4979689799.0,49.6,2026-05-13,False,True,True,True
2,002432,九安医疗,医疗保健,97.95918367346938,2.0480197107376554,2.489007626565154,3.2035620608849893,2.789120488979485,2.248086372206128,-2.7571761814741627,2.7028704239823034,,,,,,,,,,,,,,,10.7324,,,,,,,,,,,,,2826888261.0,77.92,2026-05-13,False,True,True,True
3,601868,中国能建,建筑工程,95.91836734693877,1.9390271718610408,2.538630057418239,1.7537279762522244,2.208971183328513,2.327375699713501,-1.9817877556158796,3.2790019941721313,0.09627329192546563,0.24295774647887325,0.2172413793103447,0.23859649122807003,0.1817877469032474,0.035190615835777095,0.9493670886075949,0.1007700033478407,0.06996986943421492,0.007541451553221848,2.2492106398795864,1.9674557421438423,1.9426592730650254,,15.2383,,0.03561182746603031,0.02868630009760522,0.009101367344445496,0.65,-0.07333333333333336,0.015591782197084071,0.027309008479455447,0.24646651840869793,0.5651072974443787,0.6404735361257102,0.35952646387428977,2852166827.0,3.53,2026-05-13,False,True,True,True
4,300745,欣锐科技,汽车配件,93.87755102040816,1.8478017569091159,2.892884952873893,3.5878461593384587,3.1847686595890106,0.9723331852930243,-2.9312130862743566,0.7789852029711366,,,,,,,,,,,,,,,10.1324,,,,,,,,,,,,,613443885.0,48.58,2026-05-13,False,True,True,True
5,603139,康惠股份,中成药,91.83673469387756,1.8452518182110362,2.772296293930438,4.0787595375968335,3.321010856270324,0.942726075943203,-2.8588538600020317,0.10569642944427861,,,,,,,,,,,,,,,9.5506,,,,,,,,,,,,,191404356.0,40.07,2026-05-13,False,True,True,True
6,301588,美新科技,家居用品,89.79591836734694,1.7764474592335335,2.353367368670954,2.025240849772623,2.215554230733655,2.3606656977869713,-3.140552079993757,2.849754199386051,0.010866536639732471,0.030096536059057488,0.23822525597269628,0.7459095283926853,0.2690195529749204,-0.055208333333333304,0.8825484764542938,0.24208611703802196,0.22062331666025417,0.03419791565029609,1.2353570827269216,1.1342404068155745,1.1533350386013492,,17.8905,,0.05635280565404792,0.051167264513446074,0.016210103895195723,0.55,-0.05618915159944371,0.052785643612094986,0.08725521795297302,-0.664802405230644,0.8520613269059357,0.5617634747766027,0.2988635422819497,305370570.4,36.28,2026-05-13,False,True,True,True
7,300342,天银机电,家用电器,87.75510204081633,1.7683494830805746,1.7418842664730523,2.3405599055842177,1.9933280348997418,2.3129867152403056,-0.8777394848556658,2.468574083077109,-0.0668128654970761,-0.12091998347335076,-0.09959091550289179,0.15195813030138972,-0.009612176975771547,-0.15456953642384108,0.5511538461538461,0.0067417125035880154,0.02190397132638742,0.009669749591785645,0.6852171536989927,0.9152827348994317,1.1477925189042066,,14.029,,0.05038441748407874,0.052989084091802884,0.02794883675422001,0.6,-0.14474590276821375,0.04693604771319867,0.07964019053872391,-0.43133326627428925,0.1773121519930301,0.4660874845470577,0.17453857122362218,4141852924.55,63.83,2026-05-13,False,True,True,True
8,300518,新迅达,互联网,85.71428571428571,1.7257545312084934,2.5013910431961124,3.6717250306881644,2.992931317942774,1.159012090116123,-2.9516532520978638,0.5210368520695607,0.022214742510939134,0.1600458365164248,0.2570364238410596,0.5369433198380567,0.22486841839924177,-0.04885687441277786,0.8761904761904763,0.19421645929540832,0.15485289076206418,0.021959454080966605,1.6504609151576797,1.906301906319505,1.707132043530314,,15.3488,,0.041742982821612665,0.04683400279578667,0.02044237071001627,0.7,-0.07257033248081834,0.04428491170979868,0.07118477034735578,-0.1648529489086763,0.6471961960759998,0.7284511843971592,0.1780643963393848,422536771.15,30.37,2026-05-13,False,True,True,True
9,688525,688525.SH,未知行业,83.6734693877551,1.69023322548722,2.06167903999118,2.174307865051188,2.1089831465163833,2.0321741809480027,-1.8999088523358176,2.25369491312953,,,,,,,,,,,,,,,13.153,,,,,,,,,,,,,15001175906.0,328.49,2026-05-13,False,True,True,True
10,002317,众生药业,中成药,81.63265306122449,1.68646334328132,1.5081611110270408,1.0634343432119042,1.3213758685446833,3.1510682172105238,-1.292334510633454,3.90990956341067,-0.031499556344276924,0.17176596886741802,0.18899782135076237,0.17365591397849434,0.1302096815946152,-0.05986218776916452,0.7481884057971013,0.12171887134351511,0.09127621019932661,0.009432070987720385,1.7760829994811458,2.959797263453167,2.343293486558679,,11.7902,,0.04825484438758202,0.03777460890392026,0.011044012990757369,0.45,-0.06286013619696174,0.0216695583411742,0.03267899430690721,0.1701530656416117,0.3171174497900642,0.6762809006711444,0.11565155711497163,931758634.3,21.83,2026-05-13,False,True,True,True
