month,opportunity_count,qualified_opportunity_count,trade_count,win_count,loss_count,avg_return
202507,5,4,4,0,4,-0.037648162065707556
202508,5,3,3,2,1,0.003723452884435879
202509,5,4,4,2,2,-0.007816426345411092
202510,5,5,5,4,1,0.05002394453837363
202511,5,4,4,0,4,-0.05217637060464787
202512,5,4,4,1,3,-0.0069137572912721795
202601,5,5,5,3,2,0.08353279997691383
202602,5,5,5,2,3,-0.03000275379052448
202603,5,2,2,1,1,-0.007469624014367812
202604,5,4,4,1,3,-0.020767237114436933
202605,5,4,4,2,2,-0.014283932019474617
202606,5,4,4,0,4,-0.06482264079158452
