signal_date,exit_date,industry,rank,heat,consensus_score,signal_rule,up_prob_3d,drawdown_prob_3d,up_prob_5d,drawdown_prob_5d,macd_signal,quantile_signal,dual_ma_signal,forward_return,win
20250701,20250708,船舶,1,83.47150971830689,0.9563288490944823,3日+5日,0.88,0.176003,0.88,0.202157,MACD量能共振,强势极值,双均线多头,-0.042298593649732256,0
20250708,20250715,玻璃,1,83.00024752428293,0.9428642149795121,3日+5日,0.88,0.157115,0.88,0.184489,MACD量能共振,强势极值,双均线多头,-0.04763496591605796,0
20250716,20250723,轻工机械,1,78.25245918268949,0.807213119505414,3日+5日,0.790622,0.27838,0.758946,0.297759,MACD量能共振,强势极值,双均线多头,-0.021633227623474603,0
20250723,20250730,水泥,1,84.32728211038892,0.9807794888682546,3日+5日,0.88,0.168293,0.88,0.199167,MACD量能共振,强势极值,双均线多头,-0.03902586107356539,0
20250815,20250822,铜,1,76.1836503718391,0.7481042963382596,3日+5日,0.847965,0.239516,0.815572,0.262184,MACD量能共振,强势极值,双均线多头,-0.016210156287077917,0
20250822,20250829,白酒,1,79.24221380099046,0.8354918228854415,3日,0.770754,0.290669,0.739966,0.308869,MACD量能共振,强势极值,双均线多头,0.01660378128130427,1
20250829,20250905,公路,1,82.23071948683854,0.9208776996239583,3日+5日,0.808709,0.266735,0.776485,0.287173,MACD量能共振,强势极值,双均线多头,0.010776733659081284,1
20250901,20250908,黄金,2,78.85480339959989,0.8244229542742825,3日+5日,0.88,0.170394,0.88,0.198647,MACD量能共振,强势极值,双均线多头,0.015708881484023673,1
20250908,20250915,公路,1,79.89868518614824,0.8542481481756643,3日+5日,0.88,0.194033,0.88,0.221431,MACD转强,强势极值,双均线多头,-0.04699513246302571,0
20250915,20250922,铅锌,2,76.15856245727082,0.747387498779166,3日+5日,0.793663,0.276454,0.761878,0.296012,MACD量能共振,强势极值,双均线多头,-0.06120360426614506,0
20250930,20251015,铜,1,76.79227342158605,0.7654935263310298,3日+5日,0.88,0.18354,0.88,0.209823,MACD量能共振,强势极值,双均线多头,0.061224149863502726,1
20251009,20251016,铜,1,82.58146825632352,0.9308990930378147,3日+5日,0.88,0.156162,0.88,0.187798,MACD量能共振,强势极值,双均线多头,-0.05092518407520327,0
20251015,20251022,焦炭加工,2,79.6167825394629,0.8461937868417972,3日+5日,0.837667,0.246958,0.805167,0.269053,MACD量能共振,强势极值,双均线多头,0.06882101945508672,1
20251021,20251028,焦炭加工,1,83.24384222528968,0.9498240635797053,3日+5日,0.88,0.174238,0.88,0.201195,MACD量能共振,强势极值,双均线多头,0.015555691402538778,1
20251027,20251103,林业,9,69.5178539380262,0.5576529696578918,3日,0.76092,0.296584,0.730669,0.314197,MACD量能共振,分位中性,双均线多头,0.16725430834986607,1
20251031,20251107,林业,1,83.71525567153951,0.9632930191868432,3日+5日,0.88,0.150446,0.88,0.177557,MACD量能共振,强势极值,双均线多头,0.049413887559579886,1
20251103,20251110,林业,1,84.5194744551722,0.9862706987192058,3日+5日,0.88,0.13902,0.88,0.169279,MACD量能共振,强势极值,双均线多头,-0.0006215374825392586,0
20251107,20251114,水力发电,2,76.50416006100694,0.7572617160287699,3日+5日,0.802362,0.270876,0.770301,0.290944,MACD量能共振,强势极值,双均线多头,-0.011350514436385285,0
20251114,20251121,林业,1,82.99878034193759,0.9428222954839314,3日+5日,0.88,0.185563,0.88,0.212306,MACD量能共振,强势极值,双均线多头,-0.11303127147878832,0
20251121,20251128,渔业,1,83.76010208292992,0.9645743452265692,3日+5日,0.839493,0.245656,0.807004,0.267853,MACD量能共振,强势极值,双均线多头,-0.08370215902087864,0
20251208,20251215,铜,1,68.3923355350406,0.5254953010011602,3日+5日,0.803414,0.270194,0.771324,0.290323,MACD量能共振,分位中性,均线收敛,-0.05051512656029315,0
20251216,20251223,保险,1,74.75212570769654,0.7072035916484727,3日,0.767179,0.292831,0.736579,0.310818,MACD量能共振,分位中性,双均线多头,0.053438672590080095,1
20251223,20251230,保险,1,78.77491057250825,0.8221403020716642,3日,0.758976,0.297741,0.72884,0.315237,MACD转强,强势极值,双均线多头,-0.013308799381982673,0
20251231,20260109,空运,4,71.82943675295674,0.6236981929416212,3日,0.774776,0.288219,0.743786,0.306659,MACD量能共振,分位中性,双均线多头,-0.017269775812892987,0
20260105,20260112,互联网,15,65.4611677867503,0.44174765105000846,3日,0.774078,0.288646,0.743122,0.307044,MACD转弱,强势极值,均线收敛,0.11294039595116905,1
20260109,20260116,航空,1,83.09487294977532,0.945567798565009,3日+5日,0.871322,0.221628,0.839643,0.245548,MACD量能共振,强势极值,双均线多头,-0.06761076442899154,0
20260116,20260123,铅锌,2,81.76438312296388,0.9075538035132535,3日+5日,0.816927,0.261276,0.784545,0.28219,MACD量能共振,强势极值,双均线多头,0.15138697556420116,1
20260123,20260130,黄金,1,84.65,0.99,3日+5日,0.88,0.139752,0.88,0.167198,MACD量能共振,强势极值,双均线多头,0.2532254281205749,1
20260130,20260206,石油开采,1,84.22999999999999,0.978,3日+5日,0.88,0.185264,0.88,0.211091,MACD量能共振,强势极值,双均线多头,-0.03227803532238443,0
20260202,20260209,白酒,7,66.64362251170958,0.4755320717631307,3日+5日,0.828479,0.253403,0.79598,0.274979,MACD转弱,强势极值,双均线空头,-0.01571123842920581,0
20260205,20260212,焦炭加工,1,68.75344364069343,0.5358126754483836,3日,0.787139,0.283528,0.755599,0.302818,MACD量能共振,分位中性,双均线多头,-0.04150441923272204,0
20260210,20260225,影视音像,1,77.1538586842601,0.7758245338360028,3日+5日,0.88,0.181935,0.88,0.211062,MACD量能共振,强势极值,双均线多头,-0.12820137173640864,0
20260213,20260302,船舶,1,71.73672101426456,0.6210491718361303,3日+5日,0.812523,0.264215,0.780218,0.284875,MACD量能共振,强势极值,均线收敛,0.01838671160448174,1
20260227,20260306,火力发电,4,74.53184544979115,0.7009098699940329,3日+5日,0.865979,0.225858,0.834074,0.249499,MACD量能共振,强势极值,双均线多头,0.017016548841232364,1
20260302,20260309,石油开采,1,82.97410377886249,0.9421172508246425,3日+5日,0.88,0.155625,0.88,0.183618,MACD量能共振,强势极值,双均线多头,0.02466528475349505,1
20260309,20260316,水力发电,1,80.82478285820517,0.8807080816630046,3日+5日,0.829194,0.252908,0.796691,0.274525,MACD量能共振,强势极值,双均线多头,-0.039604532782230674,0
20260401,20260409,化学制药,1,64.72247526788156,0.42064215051090165,3日,0.762961,0.295365,0.732594,0.3131,MACD转弱,强势极值,双均线空头,-0.03273950254373231,0
20260409,20260416,铝,3,53.964433191441486,0.113269519755471,3日+5日,0.821007,0.261205,0.788569,0.282489,MACD转弱,分位中性,双均线空头,0.012234319392040139,1
20260423,20260430,船舶,1,79.95977470741846,0.8559935630690991,3日+5日,0.801989,0.271117,0.769938,0.291163,MACD量能共振,强势极值,双均线多头,-0.020351409423991614,0
20260430,20260512,煤炭开采,4,73.96032866938938,0.684580819125411,3日+5日,0.795798,0.275096,0.763939,0.294779,MACD量能共振,分位中性,双均线多头,-0.04221235588206394,0
20260506,20260513,半导体,2,78.93925336011876,0.8268358102891074,3日+5日,0.815942,0.261936,0.783576,0.282793,MACD量能共振,强势极值,双均线多头,0.05632313545775602,1
20260512,20260519,半导体,1,82.19543588332326,0.919869596666379,3日+5日,0.796082,0.274914,0.764213,0.294614,MACD量能共振,强势极值,双均线多头,0.015468606678644805,1
20260518,20260525,电信运营,1,82.15792741855125,0.9187979262443216,3日+5日,0.862367,0.228668,0.830332,0.252117,MACD量能共振,强势极值,双均线多头,-0.04432292951277544,0
20260529,20260605,火力发电,1,78.08698896185184,0.8024853989100528,3日+5日,0.88,0.188215,0.88,0.214216,MACD量能共振,强势极值,双均线多头,-0.08460454070152386,0
20260601,20260608,火力发电,1,82.72889848195551,0.9351113851987289,3日+5日,0.88,0.188804,0.88,0.21497,MACD量能共振,强势极值,双均线多头,-0.13280657811690583,0
20260605,20260612,煤炭开采,1,81.46373724151246,0.8989639211860705,3日+5日,0.851714,0.236744,0.81939,0.259618,MACD量能共振,强势极值,双均线多头,-0.06735136132938954,0
20260617,20260625,玻璃,1,73.48331168092449,0.6709517623121282,3日+5日,0.88,0.173377,0.88,0.203932,MACD量能共振,强势极值,双均线多头,-0.05649471650620262,0
20260625,20260702,半导体,2,75.07809566002268,0.716517018857791,3日+5日,0.858744,0.231449,0.826595,0.254705,MACD量能共振,分位中性,双均线多头,-0.002637907213840115,0
