signal_date,exit_date,exit_day,exit_reason,rank,code,name,industry,rps20,rps90,entry_close,exit_close,ret_pct,win
20251219,20251224,3,normal,1,000547,航天发展,通信设备,99.6,99.7,22.3,24.93,11.79,1
20251219,20251224,3,normal,2,300456,赛微电子,半导体,99.8,99.8,63.39,61.0,-3.77,0
20251219,20251224,3,normal,3,600343,航天动力,机械基件,99.9,99.6,38.62,41.8,8.23,1
20251219,20251223,2,stop_loss,4,600151,航天机电,汽车配件,99.9,99.6,18.88,16.06,-14.94,0
20251219,20251223,2,stop_loss,5,002565,顺灏股份,造纸,100.0,99.3,16.58,14.13,-14.78,0
20251226,20251231,3,normal,1,000547,航天发展,通信设备,99.8,99.8,28.16,33.01,17.22,1
20251226,20251231,3,normal,2,600118,中国卫星,航空,99.6,99.6,80.0,94.95,18.69,1
20251226,20251230,2,stop_loss,3,002149,西部材料,小金属,100.0,99.5,46.78,43.0,-8.08,0
20251226,20251231,3,normal,4,600343,航天动力,机械基件,99.6,99.7,45.4,48.97,7.86,1
20251226,20251230,2,stop_loss,5,603601,再升科技,玻璃,99.9,99.6,13.34,11.94,-10.49,0
20260106,20260109,3,normal,1,600118,中国卫星,航空,99.9,99.9,107.01,106.05,-0.9,0
20260106,20260109,3,normal,2,000547,航天发展,通信设备,99.4,99.9,34.08,37.78,10.86,1
20260106,20260109,3,normal,3,300136,信维通信,元器件,99.7,99.3,64.12,75.15,17.2,1
20260106,20260109,3,normal,4,002149,西部材料,小金属,99.9,99.6,49.79,50.58,1.59,1
20260106,20260109,3,normal,5,600879,航天电子,航空,99.6,98.8,23.93,28.69,19.89,1
20260113,20260115,2,stop_loss,1,600118,中国卫星,航空,99.9,99.7,121.52,106.83,-12.09,0
20260113,20260115,2,stop_loss,2,300058,蓝色光标,广告包装,99.9,99.5,20.85,18.41,-11.7,0
20260113,20260115,2,stop_loss,3,002202,金风科技,电气设备,99.7,99.6,33.95,30.04,-11.52,0
20260113,20260114,1,stop_loss,4,002792,通宇通讯,通信设备,99.9,99.8,69.97,62.97,-10.0,0
20260113,20260116,3,normal,5,300136,信维通信,元器件,99.7,99.4,74.1,79.4,7.15,1
20260120,20260121,1,stop_loss,1,300136,信维通信,元器件,99.9,99.8,81.6,73.31,-10.16,0
20260120,20260123,3,normal,2,300058,蓝色光标,广告包装,99.9,99.4,17.78,20.55,15.58,1
20260120,20260123,3,normal,3,600118,中国卫星,航空,99.3,99.6,98.04,108.9,11.08,1
20260120,20260123,3,normal,4,301005,超捷股份,汽车配件,99.9,99.9,194.98,219.98,12.82,1
20260120,20260123,3,normal,5,300342,天银机电,家用电器,99.6,99.6,52.22,61.27,17.33,1
20260127,20260128,1,stop_loss,1,300058,蓝色光标,广告包装,100.0,99.8,22.2,20.36,-8.29,0
20260127,20260130,3,normal,2,002716,湖南白银,小金属,100.0,99.6,17.64,19.04,7.94,1
20260127,20260129,2,take_profit,3,601212,白银有色,铜,99.9,99.8,12.55,15.19,21.04,1
20260127,20260129,2,stop_loss,4,300751,迈为股份,专用机械,99.9,99.9,362.5,325.73,-10.14,0
20260127,20260130,3,normal,5,300136,信维通信,元器件,99.1,99.7,84.34,80.03,-5.11,0
20260203,20260205,2,stop_loss,1,300058,蓝色光标,广告包装,99.1,99.7,22.06,19.13,-13.28,0
20260203,20260205,2,stop_loss,2,300751,迈为股份,专用机械,99.5,99.9,335.0,294.21,-12.18,0
20260203,20260206,3,normal,3,300102,乾照光电,半导体,99.2,99.8,42.4,39.01,-8.0,0
20260203,20260205,2,stop_loss,4,300139,晓程科技,黄金,99.9,99.3,64.91,58.8,-9.41,0
20260203,20260206,3,stop_loss,5,300342,天银机电,家用电器,99.1,99.6,56.15,50.71,-9.69,0
20260210,20260211,1,stop_loss,1,002931,锋龙股份,机械基件,99.6,100.0,104.38,95.5,-8.51,0
20260210,20260213,3,normal,2,002969,嘉美包装,广告包装,99.6,100.0,30.42,30.05,-1.22,0
20260210,20260212,2,stop_loss,3,002342,巨力索具,机械基件,98.8,99.4,19.78,17.15,-13.3,0
20260210,20260213,3,normal,4,002440,闰土股份,染料涂料,99.8,98.9,15.38,14.79,-3.84,0
20260210,20260213,3,normal,5,601212,白银有色,铜,98.9,99.4,9.81,9.47,-3.47,0
20260225,20260302,3,normal,1,000657,中钨高新,小金属,99.2,99.8,58.83,69.02,17.32,1
20260225,20260227,2,stop_loss,2,301526,国际复材,玻璃,99.9,99.3,15.76,14.09,-10.6,0
20260225,20260302,3,normal,3,601869,长飞光纤,通信设备,99.8,99.2,228.55,242.42,6.07,1
20260225,20260302,3,take_profit,4,300164,通源石油,石油开采,99.9,99.2,14.68,18.08,23.16,1
20260225,20260302,3,normal,5,300394,天孚通信,通信设备,99.8,98.5,341.51,350.0,2.49,1
20260304,20260305,1,stop_loss,1,300164,通源石油,石油开采,100.0,100.0,24.56,22.41,-8.75,0
20260304,20260309,3,normal,2,002378,章源钨业,小金属,99.8,99.9,44.98,44.91,-0.16,0
20260304,20260305,1,stop_loss,3,002842,翔鹭钨业,小金属,99.7,100.0,46.05,41.82,-9.19,0
20260304,20260309,3,stop_loss,4,300394,天孚通信,通信设备,99.5,98.6,335.56,306.96,-8.52,0
20260304,20260309,3,normal,5,600487,亨通光电,通信设备,99.2,98.8,48.38,45.72,-5.5,0
20260311,20260313,2,stop_loss,1,002378,章源钨业,小金属,99.9,99.8,43.89,36.92,-15.88,0
20260311,20260313,2,stop_loss,2,002506,协鑫集成,电气设备,99.7,99.0,5.96,5.42,-9.06,0
20260311,20260316,3,normal,3,601869,长飞光纤,通信设备,99.0,99.5,250.01,233.0,-6.8,0
20260311,20260316,3,normal,4,000533,顺钠股份,电气设备,99.8,99.3,17.87,18.66,4.42,1
20260311,20260316,3,normal,5,300164,通源石油,石油开采,99.5,99.7,19.83,19.92,0.45,1
20260318,20260320,2,stop_loss,1,000533,顺钠股份,电气设备,99.8,99.7,19.75,16.75,-15.19,0
20260318,20260323,3,normal,2,603778,国晟科技,电气设备,99.3,100.0,22.71,24.65,8.54,1
20260318,20260323,3,normal,3,300164,通源石油,石油开采,99.6,99.8,18.81,20.09,6.8,1
20260318,20260323,3,normal,4,600722,金牛化工,化工原料,99.9,99.6,17.37,16.33,-5.99,0
