strategy,trade_date,cash,position_value,total_equity,positions
short,20251126,2515.0,297485.0,300000.0,3
short,20251127,2515.0,299920.0,302435.0,3
short,20251128,2515.0,304055.0,306570.0,3
short,20251201,794.0,302273.0,303067.0,3
short,20251202,794.0,313014.0,313808.0,3
short,20251203,4521.0,302097.0,306618.0,3
short,20251204,4521.0,301556.0,306077.0,3
short,20251205,4521.0,304333.0,308854.0,3
short,20251208,6182.0,302713.0,308895.0,3
short,20251209,6182.0,302085.0,308267.0,3
short,20251210,4101.0,304046.0,308147.0,3
short,20251211,341.0,307839.0,308180.0,3
short,20251212,7169.0,296352.0,303521.0,3
short,20251215,4232.0,299043.0,303275.0,3
short,20251216,2566.0,314943.0,317509.0,3
short,20251217,11428.0,298381.0,309809.0,3
short,20251218,11428.0,297791.0,309219.0,3
short,20251219,11428.0,302013.0,313441.0,3
short,20251222,12766.0,298457.0,311223.0,3
short,20251223,12766.0,293807.0,306573.0,3
short,20251224,8615.0,294754.0,303369.0,3
short,20251225,8615.0,296786.0,305401.0,3
short,20251226,6589.0,299158.0,305747.0,3
short,20251229,9300.0,292178.0,301478.0,3
short,20251230,5144.0,294991.0,300135.0,3
short,20251231,5144.0,303233.0,308377.0,3
short,20260105,5144.0,302405.0,307549.0,3
short,20260106,5144.0,305245.0,310389.0,3
short,20260107,6818.0,299206.0,306024.0,3
short,20260108,19103.0,291121.0,310224.0,3
short,20260109,19103.0,290577.0,309680.0,3
short,20260112,14873.0,304822.0,319695.0,3
short,20260113,8719.0,296661.0,305380.0,3
short,20260114,5559.0,303279.0,308838.0,3
short,20260115,3443.0,298780.0,302223.0,3
short,20260116,3343.0,291265.0,294608.0,3
short,20260119,3343.0,295112.0,298455.0,3
short,20260120,205.0,290962.0,291167.0,3
short,20260121,205.0,291250.0,291455.0,3
short,20260122,205.0,292862.0,293067.0,3
short,20260123,205.0,303962.0,304167.0,3
short,20260126,161.0,307882.0,308043.0,3
short,20260127,161.0,302377.0,302538.0,3
short,20260128,161.0,309526.0,309687.0,3
short,20260129,10974.0,298722.0,309696.0,3
short,20260130,3540.0,303241.0,306781.0,3
short,20260202,93.0,284810.0,284903.0,3
short,20260203,93.0,297447.0,297540.0,3
short,20260204,300.0,290028.0,290328.0,3
short,20260205,846.0,286935.0,287781.0,3
short,20260206,2018.0,283378.0,285396.0,3
short,20260209,302.0,287311.0,287613.0,3
short,20260210,797.0,283311.0,284108.0,3
short,20260211,797.0,287963.0,288760.0,3
short,20260212,2656.0,285580.0,288236.0,3
short,20260213,2656.0,281889.0,284545.0,3
short,20260224,1527.0,279915.0,281442.0,3
short,20260225,1527.0,281643.0,283170.0,3
short,20260226,1527.0,288898.0,290425.0,3
short,20260227,425.0,289406.0,289831.0,3
short,20260302,21743.0,257970.0,279713.0,3
short,20260303,1130.0,270702.0,271832.0,3
short,20260304,1130.0,268554.0,269684.0,3
short,20260305,1172.0,272295.0,273467.0,3
short,20260306,1172.0,273657.0,274829.0,3
short,20260309,3342.0,275138.0,278480.0,3
short,20260310,4163.0,273913.0,278076.0,3
short,20260311,4163.0,273453.0,277616.0,3
short,20260312,359.0,273160.0,273519.0,3
short,20260313,755.0,264470.0,265225.0,3
short,20260316,2980.0,258508.0,261488.0,3
short,20260317,2360.0,254423.0,256783.0,3
short,20260318,2360.0,263024.0,265384.0,3
short,20260319,1169.0,255356.0,256525.0,3
short,20260320,44.0,251282.0,251326.0,3
short,20260323,724.0,249231.0,249955.0,3
short,20260324,1722.0,248019.0,249741.0,3
short,20260325,1722.0,251155.0,252877.0,3
short,20260326,1752.0,249710.0,251462.0,3
short,20260327,1752.0,254889.0,256641.0,3
short,20260330,666.0,253272.0,253938.0,3
short,20260331,7370.0,235100.0,242470.0,3
short,20260401,760.0,242390.0,243150.0,3
short,20260402,124.0,239865.0,239989.0,3
short,20260403,1139.0,231409.0,232548.0,3
short,20260407,1139.0,233003.0,234142.0,3
short,20260408,1139.0,240875.0,242014.0,3
short,20260409,697.0,248077.0,248774.0,3
short,20260410,697.0,246644.0,247341.0,3
short,20260413,697.0,248267.0,248964.0,3
short,20260414,4906.0,246017.0,250923.0,3
short,20260415,4906.0,246400.0,251306.0,3
short,20260416,4906.0,254073.0,258979.0,3
short,20260417,4906.0,255625.0,260531.0,3
short,20260420,4906.0,261347.0,266253.0,3
short,20260421,4906.0,267061.0,271967.0,3
short,20260422,196.0,275532.0,275728.0,3
short,20260423,6034.0,266567.0,272601.0,3
short,20260424,567.0,269650.0,270217.0,3
short,20260427,567.0,277479.0,278046.0,3
short,20260428,8423.0,275545.0,283968.0,3
short,20260429,73678.0,232491.0,306169.0,3
short,20260430,73678.0,227035.0,300713.0,3
short,20260506,73678.0,230241.0,303919.0,3
short,20260507,65696.0,233976.0,299672.0,3
short,20260508,65696.0,234333.0,300029.0,3
short,20260511,59132.0,242138.0,301270.0,3
short,20260512,54805.0,238718.0,293523.0,3
short,20260513,641.0,302573.0,303214.0,3
short,20260514,581.0,293845.0,294426.0,3
short,20260515,384.0,287840.0,288224.0,3
short,20260518,536.0,287073.0,287609.0,3
short,20260519,536.0,288930.0,289466.0,3
short,20260520,536.0,293780.0,294316.0,3
short,20260521,357.0,279599.0,279956.0,3
