strategy,code,ts_code,name,industry,rank,entry_date,entry_price,shares,buy_amount,exit_date,exit_price,sell_amount,exit_reason,hold_days,ma5,pct_chg,ret_pct,win
short,603738,603738.SH,泰晶科技,元器件,5,20251126,16.3,6100,99430.0,20251201,15.97,97417.0,ma5_stop,3,16.024,-0.7458,-2.0245,0
short,300632,300632.SZ,光莆股份,半导体,1,20251126,14.3,6900,98670.0,20251203,14.99,103431.0,retracement_5pct,5,15.254,-5.3662,4.8252,1
short,601702,601702.SH,华峰铝业,铝,12,20251126,18.07,5500,99385.0,20251208,18.72,102960.0,ma5_stop,8,18.732,-0.8999,3.5971,1
short,600863,600863.SH,华能蒙电,火力发电,3,20251203,4.84,20600,99704.0,20251208,4.7,96820.0,ma5_stop,3,4.782,-1.4675,-2.8926,0
short,300129,300129.SZ,泰胜风能,电气设备,8,20251208,8.95,11100,99345.0,20251210,8.67,96237.0,ma5_stop,2,8.788,-1.812,-3.1285,0
short,603209,603209.SH,兴通股份,水运,11,20251208,17.03,5800,98774.0,20251211,16.08,93264.0,retracement_5pct,3,16.7,-5.5229,-5.5784,0
short,300447,300447.SZ,全信股份,电气设备,8,20251201,15.99,6200,99138.0,20251212,17.17,106454.0,ma5_stop,9,17.276,-4.0782,7.3796,1
short,601187,601187.SH,厦门银行,银行,2,20251211,7.58,12800,97024.0,20251215,7.56,96768.0,ma5_stop,2,7.562,0.0,-0.2639,0
short,000088,000088.SZ,盐田港,港口,14,20251212,4.57,21800,99626.0,20251216,4.48,97664.0,ma5_stop,2,4.532,-1.9694,-1.9694,0
short,300771,300771.SZ,智莱科技,IT设备,8,20251215,14.45,6900,99705.0,20251217,15.58,107502.0,retracement_5pct,2,14.958,-6.8182,7.8201,1
short,300401,300401.SZ,花园生物,化学制药,4,20251216,15.05,6600,99330.0,20251222,15.13,99858.0,ma5_stop,4,15.16,-2.1978,0.5316,1
short,600750,600750.SH,华润江中,中成药,6,20251210,23.98,4100,98318.0,20251224,24.55,100655.0,ma5_stop,10,24.686,-0.4864,2.377,1
short,600859,600859.SH,王府井,百货,2,20251222,16.42,6000,98520.0,20251224,15.25,91500.0,ma5_stop,2,15.552,-2.6803,-7.1255,0
short,300098,300098.SZ,高新兴,软件服务,25,20251224,6.22,16000,99520.0,20251226,6.12,97920.0,ma5_stop,2,6.144,-0.8104,-1.6077,0
short,601702,601702.SH,华峰铝业,铝,1,20251217,20.55,4800,98640.0,20251229,20.54,98592.0,ma5_stop,8,20.762,-2.8382,-0.0487,0
short,300133,300133.SZ,华策影视,影视音像,4,20251226,8.26,12100,99946.0,20251229,8.05,97405.0,ma5_stop,1,8.144,-2.5424,-2.5424,0
short,300807,300807.SZ,天迈科技,软件服务,27,20251224,53.77,1800,96786.0,20251230,53.1,95580.0,ma5_stop,4,53.992,-3.3491,-1.246,0
short,300777,300777.SZ,中简科技,化纤,9,20251229,38.78,2500,96950.0,20260107,40.16,100400.0,ma5_stop,5,40.47,-2.0965,3.5585,1
short,600765,600765.SH,中航重机,航空,10,20251230,19.18,5200,99736.0,20260107,19.1,99320.0,ma5_stop,4,19.244,-2.9472,-0.4171,0
short,301209,301209.SZ,联合化学,染料涂料,16,20251229,107.04,900,96336.0,20260108,109.04,98136.0,ma5_stop,6,111.198,-2.9893,1.8685,1
short,002250,002250.SZ,联化科技,化工原料,23,20260107,14.69,6800,99892.0,20260108,16.16,109888.0,limit_up,1,14.322,10.0068,10.0068,1
short,000923,000923.SZ,河钢资源,普钢,8,20260107,23.37,4200,98154.0,20260112,22.8,95760.0,ma5_stop,3,22.83,-0.2625,-2.439,0
short,000733,000733.SZ,振华科技,元器件,19,20260108,56.62,1700,96254.0,20260113,55.4,94180.0,retracement_5pct,3,56.434,-5.8143,-2.1547,0
short,300263,300263.SZ,隆华科技,专用机械,22,20260108,9.85,10100,99485.0,20260113,9.77,98677.0,retracement_5pct,3,9.756,-5.8767,-0.8122,0
short,000501,000501.SZ,武商集团,百货,17,20260112,11.11,9000,99990.0,20260114,10.72,96480.0,ma5_stop,2,10.816,-1.1982,-3.5104,0
short,002729,002729.SZ,好利科技,元器件,13,20260114,18.8,5300,99640.0,20260115,18.38,97414.0,ma5_stop,1,18.54,-2.234,-2.234,0
short,002206,002206.SZ,海利得,化纤,5,20260113,6.69,14900,99681.0,20260116,6.57,97893.0,ma5_stop,3,6.662,-3.3824,-1.7937,0
short,002708,002708.SZ,光洋股份,汽车配件,19,20260113,14.19,7000,99330.0,20260116,13.73,96110.0,ma5_stop,3,13.962,-1.8585,-3.2417,0
short,300590,300590.SZ,移为通信,通信设备,5,20260115,13.45,7400,99530.0,20260116,13.13,97162.0,ma5_stop,1,13.52,-2.3792,-2.3792,0
short,605588,605588.SH,冠石科技,元器件,18,20260116,60.01,1600,96016.0,20260120,58.44,93504.0,ma5_stop,2,58.982,-0.9324,-2.6162,0
short,300161,300161.SZ,华中数控,机床制造,28,20260116,33.39,2900,96831.0,20260120,32.0,92800.0,ma5_stop,2,32.146,-2.0508,-4.1629,0
short,603199,603199.SH,九华旅游,旅游景点,10,20260120,44.53,2200,97966.0,20260126,42.55,93610.0,ma5_stop,4,43.252,-2.4083,-4.4464,0
short,000338,000338.SZ,潍柴动力,汽车配件,3,20260116,20.94,4700,98418.0,20260129,23.23,109181.0,ma5_stop,9,23.762,-2.1895,10.936,1
short,601108,601108.SH,财通证券,证券,1,20260126,9.46,9900,93654.0,20260130,9.31,92169.0,ma5_stop,4,9.344,-1.5856,-1.5856,0
short,002648,002648.SZ,卫星化学,化工原料,32,20260120,20.79,4400,91476.0,20260202,21.92,96448.0,retracement_5pct,9,23.396,-10.0164,5.4353,1
short,600621,600621.SH,华鑫股份,证券,1,20260129,16.96,5800,98368.0,20260202,16.43,95294.0,ma5_stop,2,16.51,-1.2026,-3.125,0
short,002385,002385.SZ,大北农,饲料,5,20260130,4.59,21700,99603.0,20260202,4.13,89621.0,retracement_5pct,1,4.314,-10.0218,-10.0218,0
short,603887,603887.SH,城地香江,软件服务,8,20260202,15.78,6300,99414.0,20260204,15.4,97020.0,ma5_stop,2,15.432,-4.703,-2.4081,0
short,601599,601599.SH,浙文影业,纺织,9,20260202,4.58,18700,85646.0,20260204,4.45,83215.0,retracement_5pct,2,4.524,-5.7203,-2.8384,0
short,603002,603002.SH,宏昌电子,化工原料,8,20260204,9.68,8400,81312.0,20260205,9.25,77700.0,ma5_stop,1,9.324,-4.4421,-4.4421,0
short,002644,002644.SZ,佛慈制药,中成药,6,20260205,10.02,7700,77154.0,20260206,9.63,74151.0,ma5_stop,1,9.688,-3.8922,-3.8922,0
short,600621,600621.SH,华鑫股份,证券,7,20260204,17.02,5800,98716.0,20260209,16.92,98136.0,ma5_stop,3,17.034,-0.6459,-0.5875,0
short,603612,603612.SH,索通发展,矿物制品,2,20260206,31.73,2300,72979.0,20260210,30.39,69897.0,ma5_stop,2,30.788,-0.6213,-4.2231,0
short,300217,300217.SZ,东方电热,家用电器,12,20260209,6.28,15900,99852.0,20260212,6.13,97467.0,ma5_stop,3,6.22,-2.0767,-2.3885,0
short,600216,600216.SH,浙江医药,化学制药,10,20260210,16.14,4300,69402.0,20260224,15.73,67639.0,ma5_stop,4,15.992,-1.8102,-2.5403,0
short,002929,002929.SZ,润建股份,通信设备,23,20260212,50.32,1900,95608.0,20260224,47.38,90022.0,ma5_stop,2,48.904,-4.993,-5.8426,0
short,300831,300831.SZ,派瑞股份,半导体,3,20260224,15.69,3800,59622.0,20260227,15.22,57836.0,ma5_stop,3,15.28,-1.0403,-2.9955,0
short,002531,002531.SZ,天顺风能,电气设备,4,20260202,7.98,12500,99750.0,20260302,9.87,123375.0,ma5_stop,14,9.974,-2.4704,23.6842,1
short,000779,000779.SZ,甘咨询,建筑工程,2,20260224,10.33,9600,99168.0,20260302,10.16,97536.0,retracement_5pct,4,10.466,-6.1865,-1.6457,0
short,300440,300440.SZ,运达科技,软件服务,3,20260227,17.86,3300,58938.0,20260303,16.75,55275.0,retracement_5pct,2,17.062,-5.3137,-6.215,0
short,002377,002377.SZ,国创高新,其他建材,15,20260302,3.83,26100,99963.0,20260303,3.59,93699.0,retracement_5pct,1,3.694,-6.2663,-6.2663,0
short,002797,002797.SZ,第一创业,证券,5,20260302,7.38,13500,99630.0,20260305,7.25,97875.0,ma5_stop,3,7.418,-2.5538,-1.7615,0
short,600511,600511.SH,国药股份,医药商业,8,20260303,29.95,3300,98835.0,20260305,29.58,97614.0,ma5_stop,2,29.672,-0.6716,-1.2354,0
short,002986,002986.SZ,宇新股份,化工原料,12,20260303,14.74,4800,70752.0,20260305,16.01,76848.0,limit_up,2,14.78,10.0344,8.616,1
short,300782,300782.SZ,卓胜微,半导体,5,20260305,82.77,1200,99324.0,20260309,81.0,97200.0,ma5_stop,2,81.258,-1.4838,-2.1385,0
short,301571,301571.SZ,国科天成,元器件,21,20260305,62.99,1200,75588.0,20260310,62.22,74664.0,ma5_stop,3,62.746,-1.8767,-1.2224,0
short,600406,600406.SH,国电南瑞,电气设备,18,20260305,29.51,3300,97383.0,20260312,30.22,99726.0,ma5_stop,5,30.65,-1.5635,2.406,1
