strategy,signal_date,rank,code,ts_code,name,industry,entry_close,exit_date,exit_price,exit_reason,hold_days,ret_pct,win
rps90,20251225,1,000547,000547.SZ,航天发展,通信设备,25.6,20251226,28.16,limit_up,1,10.0,1
rps90,20251225,2,600343,600343.SH,航天动力,机械基件,43.27,20260105,45.69,retracement,5,5.59,1
rps90,20251225,3,600693,600693.SH,东百集团,百货,20.91,20251229,19.8,retracement,2,-5.31,0
rps90,20251225,4,002149,002149.SZ,西部材料,小金属,46.2,20260113,46.45,retracement,11,0.54,1
rps90,20251225,5,600118,600118.SH,中国卫星,航空,72.73,20251226,80.0,limit_up,1,10.0,1
rps90,20260105,1,600118,600118.SH,中国卫星,航空,99.45,20260107,100.23,retracement,2,0.78,1
rps90,20260105,2,000547,000547.SZ,航天发展,通信设备,33.08,20260113,36.0,retracement,6,8.83,1
rps90,20260105,3,300136,300136.SZ,信维通信,元器件,65.61,20260113,74.1,retracement,6,12.94,1
rps90,20260105,4,600343,600343.SH,航天动力,机械基件,45.69,20260113,45.78,retracement,6,0.2,1
rps90,20260105,5,600105,600105.SH,永鼎股份,通信设备,26.6,20260113,28.66,retracement,6,7.74,1
rps90,20260112,1,000547,000547.SZ,航天发展,通信设备,40.0,20260113,36.0,stop_loss,1,-10.0,0
rps90,20260112,2,300136,300136.SZ,信维通信,元器件,83.11,20260113,74.1,stop_loss,1,-10.84,0
rps90,20260112,3,300058,300058.SZ,蓝色光标,广告包装,20.62,20260115,18.41,stop_loss,3,-10.72,0
rps90,20260112,4,002413,002413.SZ,雷科防务,通信设备,20.13,20260113,18.12,stop_loss,1,-9.99,0
rps90,20260112,5,002202,002202.SZ,金风科技,电气设备,35.13,20260115,30.04,stop_loss,3,-14.49,0
rps90,20260119,1,300136,300136.SZ,信维通信,元器件,78.25,20260121,73.31,retracement,2,-6.31,0
rps90,20260119,2,600118,600118.SH,中国卫星,航空,104.89,20260120,98.04,retracement,1,-6.53,0
rps90,20260119,3,301005,301005.SZ,超捷股份,汽车配件,219.52,20260120,194.98,stop_loss,1,-11.18,0
rps90,20260119,4,300058,300058.SZ,蓝色光标,广告包装,16.91,20260128,20.36,retracement,7,20.4,1
rps90,20260119,5,300342,300342.SZ,天银机电,家用电器,56.6,20260120,52.22,retracement,1,-7.74,0
rps90,20260126,1,300058,300058.SZ,蓝色光标,广告包装,20.74,20260128,20.36,retracement,2,-1.83,0
rps90,20260126,2,300751,300751.SZ,迈为股份,专用机械,342.11,20260128,342.22,retracement,2,0.03,1
rps90,20260126,3,300102,300102.SZ,乾照光电,半导体,42.52,20260129,40.03,retracement,3,-5.86,0
rps90,20260126,4,300136,300136.SZ,信维通信,元器件,84.1,20260204,78.85,retracement,7,-6.24,0
rps90,20260126,5,002716,002716.SZ,湖南白银,小金属,18.08,20260128,19.4,limit_up,2,7.3,1
rps90,20260202,1,300058,300058.SZ,蓝色光标,广告包装,21.37,20260204,20.3,retracement,2,-5.01,0
rps90,20260202,2,002931,002931.SZ,锋龙股份,机械基件,95.77,20260206,104.85,retracement,4,9.48,1
rps90,20260202,3,300342,300342.SZ,天银机电,家用电器,54.3,20260204,53.21,retracement,2,-2.01,0
rps90,20260202,4,601179,601179.SH,中国西电,电气设备,15.6,20260205,14.43,retracement,3,-7.5,0
rps90,20260202,5,300751,300751.SZ,迈为股份,专用机械,304.2,20260205,294.21,retracement,3,-3.28,0
rps90,20260209,1,002342,002342.SZ,巨力索具,机械基件,19.98,20260212,17.15,stop_loss,3,-14.16,0
rps90,20260209,2,601212,601212.SH,白银有色,铜,10.37,20260210,9.81,retracement,1,-5.4,0
rps90,20260209,3,002931,002931.SZ,锋龙股份,机械基件,106.45,20260211,95.5,stop_loss,2,-10.29,0
rps90,20260209,4,300751,300751.SZ,迈为股份,专用机械,320.57,20260213,284.47,stop_loss,4,-11.26,0
rps90,20260209,5,002716,002716.SZ,湖南白银,小金属,14.12,20260224,15.05,limit_up,5,6.59,1
rps90,20260224,1,002969,002969.SZ,嘉美包装,广告包装,29.22,20260225,26.4,stop_loss,1,-9.65,0
rps90,20260224,2,300394,300394.SZ,天孚通信,通信设备,351.01,20260302,350.0,retracement,4,-0.29,0
rps90,20260224,3,301526,301526.SZ,国际复材,玻璃,15.19,20260227,14.09,retracement,3,-7.24,0
rps90,20260224,4,601869,601869.SH,长飞光纤,通信设备,234.73,20260306,213.2,stop_loss,8,-9.17,0
rps90,20260224,5,300139,300139.SZ,晓程科技,黄金,65.75,20260302,79.78,limit_up,4,21.34,1
rps90,20260303,1,002378,002378.SZ,章源钨业,小金属,41.63,20260305,41.8,retracement,2,0.41,1
rps90,20260303,2,300139,300139.SZ,晓程科技,黄金,81.96,20260305,74.0,stop_loss,2,-9.71,0
rps90,20260303,3,002842,002842.SZ,翔鹭钨业,小金属,43.68,20260305,41.82,retracement,2,-4.26,0
rps90,20260303,4,300394,300394.SZ,天孚通信,通信设备,334.56,20260309,306.96,stop_loss,4,-8.25,0
