rank,code,name,industry,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used,quote_only_fallback_used,pass_momentum_floor,pass_next_2_3d_setup
1,600186,莲花控股,制造业-食品制造业,100.0,2.3738972408028878,2.8784407829765666,2.961576883164293,2.9133579450554112,3.1252290071136284,-3.28029472139912,3.4973797235966413,,,,,,,,,,,,,,,17.94,,,,,,,,,,,,,3329726035.0,10.72,2026-05-13,False,True,True,True
2,601208,东材科技,制造业-化学原料和化学制品制造业,97.95918367346938,2.2096916274732306,2.3861038433660786,3.127172373636214,2.6973526260795353,2.666796636768331,-1.920226641434858,3.277140955400756,,,,,,,,,,,,,,,10.26,,,,,,,,,,,,,4979689799.0,49.6,2026-05-13,False,True,True,True
3,300745,欣锐科技,制造业-汽车制造业,95.91836734693877,1.951848681797505,3.1608221349145182,3.4591393253474547,3.2861153548963515,1.2318470110965514,-3.2906784911665365,0.5847145504057736,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,613443885.16,48.58,2026-05-13,False,True,True,True
4,603985,恒润股份,制造业-金属制品业,93.87755102040816,1.747310731125494,2.4595054588579677,2.5703692423668034,2.5060682479316787,1.7254702686376797,-2.4975955975270367,1.4549778343130628,,,,,,,,,,,,,,,9.75,,,,,,,,,,,,,1169451813.0,27.69,2026-05-13,False,True,True,True
5,300398,飞凯材料,制造业-化学原料和化学制品制造业,91.83673469387756,1.7217088538154894,2.6212537191393355,2.461833048810314,2.5542970376011462,2.746034017242578,-2.974685618743487,2.767879012120709,,,,,,,,,,,,,,,14.08,,,,,,,,,,,,,3217315992.63,41.81,2026-05-13,False,True,True,True
6,300604,长川科技,制造业-专用设备制造业,89.79591836734694,1.7125181462421002,2.2894325968010545,2.1978003999552467,2.250947074125815,1.7980980096104158,-2.314460130110095,2.587581238303713,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,8787811300.91,228.0,2026-05-13,False,True,True,True
7,600367,红星发展,制造业-化学原料和化学制品制造业,87.75510204081633,1.677335232257647,2.366605668047693,1.7342671885484775,2.1010235066580223,2.1558602416960637,-2.385147190520935,1.5383503130654708,,,,,,,,,,,,,,,14.33,,,,,,,,,,,,,1133064864.0,24.91,2026-05-13,False,True,True,True
8,300846,首都在线,信息传输、软件和信息技术服务业-软件和信息技术服务业,85.71428571428571,1.6622991383646093,2.251749251602699,2.032029729565587,2.159467052347112,2.0499404606408853,-2.425965686675754,1.690165991390555,,,,,,,,,,,,,,,13.77,,,,,,,,,,,,,1778186427.87,33.72,2026-05-13,False,True,True,True
9,301312,智立方,制造业-专用设备制造业,83.6734693877551,1.6423580866620862,2.2251510676137425,2.1799444196254374,2.2061642754586543,1.6035132487718071,-1.202097941208307,0.8461876191222106,,,,,,,,,,,,,,,12.11,,,,,,,,,,,,,916059535.81,129.42,2026-05-13,False,True,True,True
10,600875,东方电气,制造业-通用设备制造业,81.63265306122449,1.6385764957131224,2.0762594704192674,2.2968352584987066,2.1689013014126317,1.382385802449889,-1.4036926121266153,2.6952306705325175,,,,,,,,,,,,,,,6.36,,,,,,,,,,,,,5825404621.0,40.85,2026-05-13,False,True,True,True
11,300518,新迅达,信息传输、软件和信息技术服务业-互联网和相关服务,79.59183673469387,1.6106590909594738,2.360420888467407,3.2966587870139525,2.753640805856956,1.2238577901279803,-2.9293366224993607,0.4181921459978736,,,,,,,,,,,,,,,11.52,,,,,,,,,,,,,697380425.98,30.37,2026-05-13,False,True,True,True
12,300067,安诺其,制造业-化学原料和化学制品制造业,77.55102040816327,1.6104069428193053,2.056880343873624,2.084386878378296,2.068433088365586,2.14572436844751,-2.346803227709712,1.517233910464317,,,,,,,,,,,,,,,16.29,,,,,,,,,,,,,1112937230.89,7.44,2026-05-13,False,True,True,True
13,000833,粤桂股份,综合-综合,75.51020408163265,1.6093515430148961,1.99576082546694,1.8558580242647391,1.9370016489620154,1.950888281294448,-1.241625740265177,1.5504489744496432,,,,,,,,,,,,,,,15.27,,,,,,,,,,,,,1936830786.08,28.57,2026-05-13,False,True,True,True
14,601868,中国能建,建筑业-土木工程建筑业,73.46938775510205,1.5969654851103712,2.242417450562842,1.924974907203212,2.1090915823517973,1.5471218187134352,-2.309644124700585,2.805164142603892,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,6415123974.0,3.53,2026-05-13,False,True,True,True
