ts_code,trade_date,adj_factor
000001.SZ,20250922,131.7878
000002.SZ,20250922,181.704
000004.SZ,20250922,4.064
000006.SZ,20250922,39.74
000007.SZ,20250922,8.284
000008.SZ,20250922,22.408
000009.SZ,20250922,9.0053
000010.SZ,20250922,10.775
000011.SZ,20250922,4.411
000012.SZ,20250922,30.3449
000014.SZ,20250922,6.776
000016.SZ,20250922,22.375
000017.SZ,20250922,2.683
000019.SZ,20250922,4.8613
000020.SZ,20250922,1.752
000021.SZ,20250922,14.74
000025.SZ,20250922,2.7682
000026.SZ,20250922,8.9877
000027.SZ,20250922,18.4563
000028.SZ,20250922,5.6862
000029.SZ,20250922,2.291
000030.SZ,20250922,4.2329
000031.SZ,20250922,14.651
000032.SZ,20250922,4.2557
000034.SZ,20250922,3.2375
000035.SZ,20250922,4.7462
000036.SZ,20250922,12.84
000037.SZ,20250922,5.668
000039.SZ,20250922,52.0044
000042.SZ,20250922,13.498
000045.SZ,20250922,3.0142
000048.SZ,20250922,10.1956
000049.SZ,20250922,9.403
000050.SZ,20250922,8.477
000055.SZ,20250922,10.3246
000056.SZ,20250922,4.708
000058.SZ,20250922,3.311
000059.SZ,20250922,1.8288
000060.SZ,20250922,41.4849
000061.SZ,20250922,22.8076
000062.SZ,20250922,8.0694
000063.SZ,20250922,17.1055
000065.SZ,20250922,17.8848
000066.SZ,20250922,11.008
000068.SZ,20250922,2.28
000069.SZ,20250922,45.255
000070.SZ,20250922,3.484
000078.SZ,20250922,20.484
000088.SZ,20250922,8.7022
000089.SZ,20250922,7.3571
000090.SZ,20250922,9.8305
000096.SZ,20250922,2.8906
000099.SZ,20250922,3.9447
000100.SZ,20250922,3.7658
000151.SZ,20250922,2.759
000153.SZ,20250922,8.3904
000155.SZ,20250922,1.5913
000156.SZ,20250922,1.235
000157.SZ,20250922,90.7887
000158.SZ,20250922,2.952
000159.SZ,20250922,3.215
000166.SZ,20250922,1.5684
000301.SZ,20250922,2.379
000333.SZ,20250922,5.6054
000338.SZ,20250922,22.8668
000400.SZ,20250922,8.026
000401.SZ,20250922,4.6942
000402.SZ,20250922,39.142
000403.SZ,20250922,10.2326
000404.SZ,20250922,3.9652
000407.SZ,20250922,11.5482
000408.SZ,20250922,6.8434
000409.SZ,20250922,2.15
000410.SZ,20250922,2.889
000411.SZ,20250922,3.3951
000415.SZ,20250922,20.919
000417.SZ,20250922,19.034
000419.SZ,20250922,16.7468
000420.SZ,20250922,6.352
000421.SZ,20250922,7.5317
000422.SZ,20250922,15.5448
000423.SZ,20250922,11.7564
000425.SZ,20250922,43.9167
000426.SZ,20250922,17.1068
000428.SZ,20250922,12.139
000429.SZ,20250922,4.8786
000430.SZ,20250922,4.612
000488.SZ,20250922,9.767
000498.SZ,20250922,3.1773
000501.SZ,20250922,7.2135
000503.SZ,20250922,7.615
000504.SZ,20250922,2.103
000505.SZ,20250922,3.3622
000506.SZ,20250922,2.872
000507.SZ,20250922,4.8296
000509.SZ,20250922,9.7463
