ts_code,trade_date,open,high,low,close,pre_close,pct_chg,vol,amount
000001.SZ,20251015,11.34,11.42,11.26,11.4,11.33,0.6178,1271061.03,1443458.105
000002.SZ,20251015,6.52,6.57,6.42,6.49,6.53,-0.6126,1766066.12,1144865.927
000004.SZ,20251015,13.33,13.89,12.71,12.87,13.35,-3.5955,141703.0,187107.516
000006.SZ,20251015,13.05,13.21,12.41,12.41,13.79,-10.0073,886386.07,1114119.702
000007.SZ,20251015,7.29,7.34,7.21,7.24,7.28,-0.5495,43705.5,31745.598
000008.SZ,20251015,2.89,2.91,2.87,2.9,2.9,0.0,490776.66,141834.063
000009.SZ,20251015,11.43,11.64,11.23,11.6,11.42,1.5762,533488.13,612849.812
000010.SZ,20251015,3.99,4.05,3.89,4.02,4.02,0.0,284308.0,113046.231
000011.SZ,20251015,9.76,9.78,9.36,9.42,9.79,-3.7794,150761.01,142892.247
000012.SZ,20251015,4.71,4.77,4.71,4.73,4.72,0.2119,155385.48,73648.929
000014.SZ,20251015,20.34,20.4,19.01,20.3,20.37,-0.3436,167672.51,334455.858
000016.SZ,20251015,5.12,5.15,5.08,5.14,5.11,0.5871,223050.1,114276.192
000017.SZ,20251015,7.29,7.3,7.03,7.2,7.22,-0.277,311298.04,223248.71
000019.SZ,20251015,6.85,6.92,6.77,6.84,6.88,-0.5814,101976.02,69776.222
000020.SZ,20251015,14.75,14.88,14.41,14.58,14.9,-2.1477,91247.3,133008.389
000021.SZ,20251015,29.5,29.94,28.0,29.5,28.85,2.253,1820584.55,5295809.007
000025.SZ,20251015,18.2,18.22,17.8,17.94,18.1,-0.884,74804.04,134174.855
000026.SZ,20251015,16.53,16.98,16.3,16.73,16.44,1.764,63642.0,106143.403
000027.SZ,20251015,6.87,6.89,6.78,6.88,6.87,0.1456,327585.72,224011.228
000028.SZ,20251015,25.21,25.42,25.2,25.37,25.3,0.2767,26212.33,66449.196
000029.SZ,20251015,29.16,29.32,28.42,29.27,28.95,1.1054,44773.61,129051.091
000030.SZ,20251015,5.44,5.54,5.44,5.54,5.44,1.8382,109909.2,60340.11
000031.SZ,20251015,3.2,3.29,3.17,3.23,3.2,0.9375,215335.94,69460.41
000032.SZ,20251015,20.52,20.83,20.1,20.81,20.54,1.3145,175145.75,358384.761
000034.SZ,20251015,38.61,39.57,37.88,39.35,38.6,1.943,201590.22,782933.97
000035.SZ,20251015,6.09,6.16,5.92,6.15,6.15,0.0,730384.15,441610.21
000036.SZ,20251015,4.17,4.19,4.11,4.19,4.16,0.7212,161386.4,67212.275
000037.SZ,20251015,8.84,8.98,8.79,8.93,8.85,0.904,70493.1,62771.282
000039.SZ,20251015,8.26,8.29,8.15,8.27,8.24,0.3641,325831.07,267876.555
000042.SZ,20251015,7.99,8.08,7.94,8.0,7.99,0.1252,38414.04,30725.98
000045.SZ,20251015,15.36,15.97,14.63,14.63,16.25,-9.9692,668800.25,1006037.026
000048.SZ,20251015,16.77,16.99,16.69,16.88,16.85,0.178,193202.71,325656.58
000049.SZ,20251015,27.4,27.88,26.5,27.81,27.42,1.4223,112406.31,305132.013
000050.SZ,20251015,9.39,9.48,9.3,9.42,9.41,0.1063,224092.83,210374.117
000055.SZ,20251015,4.3,4.34,4.28,4.32,4.3,0.4651,88829.83,38294.436
000056.SZ,20251015,2.44,2.46,2.37,2.43,2.42,0.4132,568924.35,137167.738
000058.SZ,20251015,11.02,11.11,10.77,10.9,11.05,-1.3575,273147.43,297073.948
000059.SZ,20251015,5.12,5.16,5.09,5.15,5.13,0.3899,151356.61,77598.656
000060.SZ,20251015,6.0,6.03,5.8,5.91,5.96,-0.8389,1539282.47,907863.759
000061.SZ,20251015,8.51,8.58,8.4,8.5,8.49,0.1178,242619.18,206327.367
000062.SZ,20251015,27.1,27.34,26.67,27.32,27.06,0.9608,101493.95,275231.043
000063.SZ,20251015,51.03,51.68,48.53,50.4,50.2,0.3984,2449379.54,12216470.401
000065.SZ,20251015,10.96,11.12,10.95,11.1,10.95,1.3699,126208.13,139185.255
000066.SZ,20251015,16.86,17.18,16.36,16.81,16.88,-0.4147,1154392.87,1936136.591
000068.SZ,20251015,3.68,3.71,3.64,3.67,3.68,-0.2717,123817.0,45408.202
000069.SZ,20251015,2.54,2.57,2.48,2.5,2.54,-1.5748,933251.15,234424.545
000070.SZ,20251015,9.38,9.55,9.33,9.54,9.36,1.9231,213944.79,201801.157
000078.SZ,20251015,2.48,2.52,2.48,2.51,2.48,1.2097,171775.5,42972.952
000088.SZ,20251015,4.49,4.5,4.46,4.48,4.5,-0.4444,301148.98,134770.689
000089.SZ,20251015,7.03,7.13,6.98,7.1,7.01,1.2839,141165.01,99672.569
000090.SZ,20251015,3.8,3.83,3.72,3.73,3.78,-1.3228,494635.04,185628.44
000096.SZ,20251015,11.4,11.44,11.32,11.39,11.41,-0.1753,51264.98,58245.323
000099.SZ,20251015,23.12,23.12,22.3,22.54,22.72,-0.7923,171739.01,387283.126
