ts_code,trade_date,turnover_rate_f,volume_ratio,pe_ttm,pb,total_mv,circ_mv
002938.SZ,20250926,6.4872,0.85,31.8445,4.1487,12957905.1794,12894909.9993
002659.SZ,20250926,17.2639,2.19,,1.91,413411.7453,413409.8023
002883.SZ,20250926,3.3995,0.61,,2.6435,176457.5976,173257.3054
300713.SZ,20250926,8.0643,1.3,,5.255,278078.8591,156118.5791
603610.SH,20250926,9.7597,1.22,33.7777,1.9127,596555.8395,596555.8395
301512.SZ,20250926,26.5253,1.18,70.4756,2.619,263946.9966,122801.5166
920748.BJ,20250926,6.4921,0.89,1163.0363,13.0486,376793.4,306126.5933
688139.SH,20250926,0.97,0.74,37.2601,2.3787,1024760.9333,1024760.9333
002521.SZ,20250926,1.1445,0.78,74.8601,1.2885,496774.1514,371127.7496
603358.SH,20250926,3.8496,1.25,76.0919,5.4316,1976209.1207,1847041.28
300731.SZ,20250926,15.7112,0.92,174.6126,9.1785,559587.1645,531913.0905
000910.SZ,20250926,1.5955,0.86,39.2086,0.6523,435728.41,435558.862
002933.SZ,20250926,2.9122,0.83,159.5903,2.5555,387607.05,376836.1222
600867.SH,20250926,1.1291,0.7,39.5548,2.6206,1604046.577,1604046.577
600389.SH,20250926,3.485,1.75,28.4587,2.7818,1115814.15,1115814.15
002172.SZ,20250926,4.8493,0.59,90.0219,18.8576,313184.5352,312996.2398
300985.SZ,20250926,10.0416,0.99,,3.834,381604.5341,381604.5341
600495.SH,20250926,2.3743,0.99,106.1193,1.851,602887.2521,602887.2521
301263.SZ,20250926,1.7439,0.67,241.1271,8.2563,1436054.0625,1024602.9356
301103.SZ,20250926,1.8589,0.75,,1.7095,324744.3979,324744.3979
300201.SZ,20250926,18.1636,7.89,21.6297,3.473,553964.9402,551988.2701
605218.SH,20250926,4.8,0.97,81.6428,3.4849,458443.2728,458443.2728
002245.SZ,20250926,10.0979,0.67,36.8861,3.3351,2410996.9073,2267526.3911
000703.SZ,20250926,4.0418,5.23,811.8994,1.077,2460588.1001,2447633.2976
688005.SH,20250926,7.7682,1.13,95.7076,2.5042,2079136.3922,2078825.9496
920039.BJ,20250926,3.9374,0.66,42.481,3.7846,197966.34,197966.2113
601398.SH,20250926,0.8764,0.61,7.2654,0.7042,264097036.5029,199782649.4914
002031.SZ,20250926,6.1421,0.52,,8.3458,1803504.4494,1589777.9446
920261.BJ,20250926,1.6088,0.82,20.3626,2.8076,440483.8477,258563.6599
300341.SZ,20250926,18.9447,1.05,56.8158,5.3386,998601.9485,994661.2745
605123.SH,20250926,10.0021,2.43,31.958,1.9222,876065.5492,876065.5492
600717.SH,20250926,1.0289,0.49,15.2474,0.6835,1342816.4816,1342816.4816
301262.SZ,20250926,3.3888,0.78,24.6556,2.709,1011225.0,296032.8256
605068.SH,20250926,14.2705,1.09,,3.2369,487721.0906,487721.0906
300324.SZ,20250926,12.2695,0.88,,4.0016,1117751.115,1106364.0787
920592.BJ,20250926,10.9366,2.06,275.7509,10.384,367132.48,225544.0801
603843.SH,20250926,10.55,0.7,,11.9538,344214.6326,344214.6326
300850.SZ,20250926,15.1335,1.6,29.3922,2.5893,1662867.2184,1201399.8171
300082.SZ,20250926,2.1063,0.75,,1.8444,507353.2572,505943.1404
002708.SZ,20250926,11.916,0.64,130.3315,4.6968,788623.4477,721135.1562
600733.SH,20250926,4.9567,1.21,,13.4994,4325038.4591,3790835.2107
600119.SH,20250926,3.2036,0.54,,23.6504,294042.6479,294042.6479
301321.SZ,20250926,7.2546,0.6,,3.3589,319922.46,253223.4293
688002.SH,20250926,1.7897,0.78,56.6669,7.114,3941936.0461,3941936.0461
000860.SZ,20250926,1.2062,0.76,,1.6312,1154189.4349,1154189.4349
300257.SZ,20250926,2.4303,0.72,44.8982,2.2801,1496414.3371,1437763.4412
301628.SZ,20250926,8.2726,1.19,56.0266,5.8286,646422.8608,161606.144
600517.SH,20250926,2.079,0.99,18.3122,1.4936,3305255.86,3305255.86
000572.SZ,20250926,9.5568,0.73,,5.2811,888103.67,886816.6562
001256.SZ,20250926,2.7961,0.71,38.493,2.7225,320022.5802,91875.8227
300493.SZ,20250926,8.6839,0.55,278.6369,10.1499,1142017.2047,1128571.2247
002127.SZ,20250926,1.7677,0.66,,2.0822,861659.5115,700151.2819
603333.SH,20250926,2.3923,0.67,,2.4259,499086.6516,499086.6516
600821.SH,20250926,2.6799,1.36,14.9739,1.1845,1130451.1144,1130451.1144
600653.SH,20250926,2.7954,0.5,222.2918,5.3218,404847.1059,404847.1059
002344.SZ,20250926,3.3899,0.5,74.7402,0.6727,566916.6963,566400.9407
301162.SZ,20250926,3.1854,0.81,77.0646,5.3955,808097.7978,519449.7151
920077.BJ,20250926,2.0988,0.65,82.3146,3.3503,846261.8165,456417.8165
300283.SZ,20250926,4.6085,0.68,,3.2308,344405.9078,254482.4219
688156.SH,20250926,2.5968,0.69,,2.4587,201931.8848,201931.8848
002105.SZ,20250926,7.7488,1.18,,2.863,245127.96,242738.3354
601728.SH,20250926,0.5113,0.72,17.8376,1.3555,61035261.5122,51779029.0422
002461.SZ,20250926,1.5147,0.78,24.2252,2.0803,2235461.7648,2235461.7648
300501.SZ,20250926,6.5267,0.69,79.0949,2.2182,346819.9491,224360.7081
002253.SZ,20250926,3.0746,0.82,,2.188,239840.539,221427.1988
002360.SZ,20250926,2.0503,0.77,,0.987,199280.027,162451.0261
300949.SZ,20250926,5.9272,0.94,,3.7176,250664.0865,142520.9168
301046.SZ,20250926,9.7951,0.87,82.8028,5.0517,410132.6675,304749.5182
300393.SZ,20250926,2.5687,0.8,,2.0809,663583.061,582146.1755
300675.SZ,20250926,9.749,1.48,,4.1095,226160.0514,226160.0514
002859.SZ,20250926,2.2872,0.74,74.8986,4.638,1343662.3642,1264693.5172
000557.SZ,20250926,0.8467,0.69,18.7809,1.1893,753979.738,753742.6744
688500.SH,20250926,10.3736,1.73,,7.8363,571494.996,557200.916
002255.SZ,20250926,5.1926,1.4,15.4466,1.5846,681322.4651,523137.2393
002059.SZ,20250926,20.4042,0.64,,4.5868,607460.8878,589827.6348
301006.SZ,20250926,2.7396,0.68,27.6189,1.8174,228279.92,141095.1179
002793.SZ,20250926,2.2638,0.89,,3.8414,542706.6545,541881.7367
688025.SH,20250926,8.1507,2.52,78.5045,6.4848,1359111.6995,1359111.6995
920252.BJ,20250926,28.8917,0.92,375.7711,13.2776,345008.8851,229325.1943
002830.SZ,20250926,4.6596,0.74,56.2779,3.4582,223077.82,111844.2325
601515.SH,20250926,2.5597,0.77,,1.6307,827375.5505,827375.5505
002696.SZ,20250926,3.1972,0.86,101.1008,1.593,214398.2402,207047.4208
002900.SZ,20250926,3.7045,0.86,,2.0104,403355.8763,220677.0574
002741.SZ,20250926,5.7906,0.66,,5.3184,1004448.1896,920934.1764
603656.SH,20250926,5.1356,0.9,161.0931,3.1615,410577.4266,410577.4266
600844.SH,20250926,2.3607,1.02,,18.8397,294792.0296,238591.8839
600033.SH,20250926,0.8694,0.45,11.6289,0.7534,924862.8,924862.8
688398.SH,20250926,2.7689,0.86,90.6923,3.1323,318343.1523,318343.1523
300498.SZ,20250926,0.8832,1.13,11.0356,3.0389,12555959.8357,11251627.8656
601168.SH,20250926,3.5449,1.12,15.5407,2.9774,4942342.0,4942342.0
301388.SZ,20250926,6.213,0.84,171.8515,3.1987,309391.752,82616.8958
688133.SH,20250926,5.1865,1.43,230.1739,1.4495,404186.0895,404186.0895
002648.SZ,20250926,3.8424,2.01,9.6881,2.1047,6548647.2214,6544441.9508
920576.BJ,20250926,5.1693,1.06,88.0185,7.2756,320857.75,315490.941
603151.SH,20250926,2.5036,0.64,46.5092,3.2442,423924.1775,206004.1775
002785.SZ,20250926,6.3333,0.46,,7.713,688244.0137,587644.3849
300209.SZ,20250926,20.5582,1.62,72.6205,6.7903,650045.2882,343012.978
600037.SH,20250926,2.1553,1.19,,0.8782,1112030.5293,1112030.5293
920262.BJ,20250926,4.5746,0.46,50.1148,5.3756,179696.881,81082.0582
