trade_date,open,high,low,close,vol,amount,turnover
2025-10-09,56.56,61.8,56.1,58.76,110972.27,654492724.0,
2025-10-10,57.51,58.51,54.18,55.21,71121.15,397040422.0,
2025-10-13,52.0,55.68,51.56,53.99,56288.55,304351118.0,
2025-10-14,55.05,57.49,52.86,53.33,59982.16,331177111.0,
2025-10-15,53.86,62.06,51.05,59.31,94756.35,530306797.99999994,
2025-10-16,57.11,65.5,57.02,61.02,141670.67,884923660.0,
2025-10-17,58.9,60.79,55.8,55.8,83963.9,484902647.0,
2025-10-20,58.0,60.45,55.5,57.45,71794.57,415093747.0,
2025-10-21,57.72,61.49,57.32,58.2,71072.19,419748987.0,
2025-10-22,56.07,57.66,54.0,55.71,65628.37,365144558.0,
2025-10-23,52.8,54.07,51.29,53.42,65166.11,343946636.0,
2025-10-24,54.7,64.1,54.11,63.08,138254.24,831112485.0,
2025-10-27,64.15,65.0,61.89,64.18,124898.26,791080007.0,
2025-10-28,61.61,62.49,60.38,61.31,65396.07,400895650.0,
2025-10-29,61.15,63.76,59.98,60.4,76083.99,468817276.0,
2025-10-30,61.65,63.68,60.2,60.41,78475.51,485038658.0,
2025-10-31,61.09,61.09,55.8,57.11,65082.83,372909532.0,
2025-11-03,56.01,59.98,54.7,59.59,63631.96,364399510.0,
2025-11-04,59.0,59.54,56.62,57.06,41320.01,237661067.0,
2025-11-05,54.85,57.5,54.5,57.08,44501.91,249217569.0,
2025-11-06,59.5,63.35,57.81,62.5,89026.05,541018008.0,
2025-11-07,62.42,68.09,61.67,65.61,97203.93,632533402.0,
2025-11-10,67.68,69.8,64.14,66.82,83387.66,558963390.0,
2025-11-11,66.7,68.0,63.06,64.38,72065.73,472382678.0,
2025-11-12,63.5,67.99,62.55,63.84,64133.3,418427248.0,
2025-11-13,64.04,68.66,63.3,65.45,69978.61,464839890.0,
2025-11-14,61.88,62.55,58.58,59.89,75191.35,453886592.0,
2025-11-17,61.63,65.21,60.88,62.71,57273.36,360347542.0,
2025-11-18,62.42,62.85,59.48,59.48,42342.68,257993183.0,
2025-11-19,58.48,59.9,56.4,57.46,50465.36,291831332.0,
2025-11-20,58.28,58.9,55.15,56.09,35172.91,198048323.0,
2025-11-21,51.97,54.88,50.23,51.06,50976.13,265131096.00000003,
2025-11-24,51.6,52.3,50.44,51.87,30844.03,159106254.0,
2025-11-25,53.34,54.2,52.36,52.75,35677.2,189560737.0,
2025-11-26,52.1,53.3,51.65,51.9,30397.44,159269649.0,
2025-11-27,51.79,53.34,51.34,51.5,27918.05,146234077.0,
2025-11-28,51.56,52.95,51.18,52.6,26397.41,137958633.0,
2025-12-01,53.19,54.88,52.08,54.0,40965.26,219989742.0,
2025-12-02,53.59,55.82,52.81,53.81,35874.24,194664961.0,
2025-12-03,53.38,53.79,52.0,52.6,30006.29,157998053.0,
2025-12-04,52.02,52.59,50.9,51.95,20872.51,107848233.0,
2025-12-05,52.02,52.7,51.1,52.16,18054.66,93915418.0,
2025-12-08,52.84,55.66,52.36,54.71,44970.53,244381344.0,
2025-12-09,54.56,55.1,53.03,53.2,29395.36,158348997.0,
2025-12-10,52.88,53.39,51.0,51.94,33551.92,172965195.0,
2025-12-11,53.0,53.29,51.16,51.67,27875.98,145240455.0,
2025-12-12,51.5,52.98,50.62,52.42,25212.42,131014676.0,
2025-12-15,51.08,52.1,50.3,51.5,22337.29,114276750.0,
2025-12-16,51.3,51.97,49.12,50.02,22361.6,111996608.0,
2025-12-17,50.4,51.33,49.02,51.28,24218.31,121413289.0,
2025-12-18,50.86,53.69,50.68,52.56,29354.79,154816946.0,
2025-12-19,53.34,53.63,50.36,50.47,34089.7,174581392.0,
2025-12-22,50.97,51.89,50.6,50.78,24575.85,125962527.0,
2025-12-23,51.73,52.11,50.4,51.15,22599.72,115881900.0,
2025-12-24,51.15,53.5,50.8,52.42,31689.37,166118015.0,
2025-12-25,54.41,62.9,54.41,59.36,141585.62,859422872.0,
2025-12-26,59.11,67.1,58.5,60.6,123795.57,767595626.0,
2025-12-29,60.01,62.42,57.22,57.5,101494.94,597949643.0,
2025-12-30,57.11,58.83,55.8,56.2,55571.04,316377192.0,
2025-12-31,56.5,56.8,54.57,55.13,44538.05,246115023.0,
2026-01-05,56.35,66.16,56.01,66.16,129299.21,800225513.0,
2026-01-06,64.94,75.0,64.0,69.75,158038.09,1089640373.0,
2026-01-07,79.42,79.88,72.81,75.02,144569.16,1090656257.0,
2026-01-08,73.77,76.98,72.14,73.47,97908.85,726640248.0,
2026-01-09,70.99,73.17,68.9,70.74,80179.08,571555025.0,
2026-01-12,72.0,72.99,69.5,71.86,76890.33,546222950.0,
2026-01-13,71.0,71.62,68.27,68.65,63401.17,443151755.0,
2026-01-14,70.0,71.4,66.83,70.16,91933.94,641133361.0,
2026-01-15,68.5,70.8,67.6,69.28,68978.25,476705692.0,
2026-01-16,70.9,75.26,69.5,73.5,114206.23,823417246.0,
2026-01-19,73.49,79.0,70.3,76.05,101970.65,758145454.0,
2026-01-20,74.0,79.18,72.82,79.12,102528.71,780189034.0,
2026-01-21,77.54,82.44,77.21,78.02,80866.18,643532870.0,
2026-01-22,80.1,87.99,77.0,82.41,99151.82,820387778.0,
2026-01-23,80.2,87.25,80.2,84.1,60479.11,502961766.0,
2026-01-26,83.0,87.09,80.52,81.85,50094.86,412727413.0,
2026-01-27,81.0,95.0,80.9,93.74,86404.91,768686006.0,
2026-01-28,95.0,104.97,92.02,100.1,82977.99,821482227.0,
2026-01-29,103.01,115.0,101.0,101.83,95240.34,1020583740.0,
2026-01-30,108.0,121.0,108.0,112.32,91685.13,1041392783.0,
2026-02-02,105.5,110.45,103.01,103.08,57994.3,614946605.0,
2026-02-03,109.99,112.8,105.61,109.79,73574.95,802910421.0,
2026-02-04,105.52,108.17,101.01,106.0,64314.04,671285961.0,
2026-02-05,101.0,111.5,101.0,110.21,52415.69,565352938.0,
2026-02-06,108.04,110.37,101.11,102.1,47284.97,487045059.0,
2026-02-09,104.75,104.76,96.11,100.17,53798.02,535163622.0,
2026-02-10,99.29,101.8,95.8,96.5,39257.49,382288334.0,
2026-02-11,96.5,98.78,93.92,97.59,43140.64,416443814.0,
2026-02-12,99.04,100.27,96.0,98.06,54801.49,534486397.0,
2026-02-13,95.0,99.77,94.01,96.18,40325.24,392792687.0,
2026-02-24,96.85,107.0,94.03,102.07,56704.96,570336588.0,
2026-02-25,100.84,101.8,93.93,96.81,63077.0,606705592.0,
2026-02-26,98.8,101.66,96.85,98.91,48638.6,480858326.0,
2026-02-27,96.5,100.99,96.15,99.8,40651.06,400141301.0,
2026-03-02,96.51,100.32,94.77,95.07,48592.62,472077238.0,
2026-03-03,94.52,96.19,83.0,83.37,59998.29,525786768.00000006,
2026-03-04,85.88,90.5,85.88,87.3,57702.44,509198395.0,
2026-03-05,90.4,94.5,87.88,90.0,50464.33,460795348.0,
2026-03-06,90.01,92.8,89.11,90.25,39807.11,360529059.0,
2026-03-09,86.0,90.09,84.32,89.49,28964.44,252625945.0,
2026-03-10,92.1,94.43,89.6,93.43,51849.97,479171844.0,
2026-03-11,93.43,95.6,91.29,92.22,49356.51,459880892.0,
2026-03-12,92.14,94.96,89.9,91.7,31964.59,295006004.0,
2026-03-13,89.58,94.66,88.8,90.2,29275.44,267837518.99999997,
2026-03-16,90.98,100.1,90.0,98.8,78117.35,748213978.0,
2026-03-17,100.0,103.0,95.8,95.8,44898.08,440769545.0,
2026-03-18,98.5,102.93,97.12,101.29,62547.99,627745119.0,
2026-03-19,92.88,95.0,86.61,87.7,95715.29,855123958.0,
2026-03-20,87.7,88.8,83.5,83.6,73368.84,630429407.0,
2026-03-23,79.8,81.8,75.35,76.12,67076.54,527841126.00000006,
2026-03-24,77.11,78.98,73.16,78.98,51824.9,393266597.0,
2026-03-25,79.65,84.95,78.38,80.05,56260.3,455862380.0,
2026-03-26,78.0,78.96,74.62,75.16,42536.96,323505329.0,
2026-03-27,73.0,76.5,71.55,74.62,35613.5,265052082.0,
2026-03-30,73.0,74.99,72.5,73.82,29821.37,219289223.0,
2026-03-31,72.77,73.96,69.91,71.24,48909.62,351642005.0,
2026-04-01,74.52,74.75,71.62,72.81,39000.98,285321906.0,
2026-04-02,73.18,73.86,69.8,70.5,26973.69,192449126.0,
2026-04-03,71.36,71.81,69.4,70.23,24997.03,176328069.0,
2026-04-07,71.8,73.25,71.0,71.3,21659.71,155831567.0,
2026-04-08,74.5,77.48,73.46,77.3,36838.3,277732775.0,
2026-04-09,76.03,78.77,74.65,77.09,31220.44,238831391.0,
2026-04-10,78.37,79.94,76.9,76.9,41562.53,324516049.0,
2026-04-13,75.0,78.78,75.0,77.35,31527.74,244564446.0,
2026-04-14,78.77,84.79,78.07,82.91,57279.53,465509667.0,
2026-04-15,83.5,85.0,81.28,82.08,54157.88,450321359.0,
2026-04-16,81.96,85.58,80.28,84.66,45767.17,379814499.0,
2026-04-17,84.02,91.46,83.0,90.09,74242.3,649470070.0,
2026-04-20,90.0,98.3,88.11,97.3,79116.18,752186922.0,
2026-04-21,97.2,100.48,94.11,99.61,59707.52,582973557.0,
2026-04-22,100.0,103.0,97.5,101.79,56623.13,569786239.0,
2026-04-23,105.0,106.0,100.36,103.8,64952.62,672346206.0,
2026-04-24,100.83,104.29,91.92,95.3,108616.38,1044045693.0,
2026-04-27,96.78,98.68,92.9,95.18,63126.2,604226119.0,
2026-04-28,94.6,99.2,92.51,95.89,58559.85,563979687.0,
2026-04-29,94.5,97.88,92.8,95.9,61692.75,591562876.0,
2026-04-30,95.8,98.34,94.93,97.23,47468.93,459117614.0,
2026-05-06,103.0,113.0,101.7,107.73,77897.52,847102039.0,
2026-05-07,106.88,112.86,105.98,111.82,64752.7,709867979.0,
2026-05-08,108.88,115.0,107.9,113.5,53339.82,597504782.0,
2026-05-11,120.47,131.5,117.0,130.4,75431.81,954776928.0,
2026-05-12,127.96,128.87,122.27,124.82,65689.65,822147171.0,
2026-05-13,122.0,127.6,118.85,126.6,63831.5,786933415.0,
2026-05-14,126.0,129.08,122.28,122.3,57349.37,723974061.0,
