rank,code,name,industry,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used,quote_only_fallback_used,pass_next_2_3d_setup
1,002975,博杰股份,制造业-专用设备制造业,100.0,2.050039355051484,2.798630369121016,2.4967329851848667,2.671833467867833,2.234851009779815,-2.0554067489234176,2.0361318185719433,,,,,,,,,,,,,,,16.33,,,,,,,,,,,,,2456855304.46,111.49,2026-05-12,False,True,True
2,600184,光电股份,制造业-专用设备制造业,97.95918367346938,2.0492748000338477,2.798630369121016,2.4967329851848667,2.671833467867833,2.23970833306759,-2.083695923072832,2.0462512420881414,,,,,,,,,,,,,,,14.86,,,,,,,,,,,,,2480868566.0,29.08,2026-05-12,False,True,True
3,601208,东材科技,制造业-化学原料和化学制品制造业,95.91836734693877,1.9957222480469903,2.184950960790442,2.8625582387021686,2.469546017513367,2.4335644753993044,-2.0872205600162936,3.1014046356018885,,,,,,,,,,,,,,,9.7,,,,,,,,,,,,,4496457138.0,47.25,2026-05-12,False,True,True
4,002929,润建股份,信息传输、软件和信息技术服务业-软件和信息技术服务业,93.87755102040816,1.9741352247895956,2.269697706160258,3.226814845253686,2.6716869045794978,2.199119384589882,-1.9152669026650169,2.119176601627417,,,,,,,,,,,,,,,17.09,,,,,,,,,,,,,2844861972.3,79.8,2026-05-12,False,True,True
5,300568,星源材质,制造业-化学原料和化学制品制造业,91.83673469387756,1.8932445018048456,2.481025399194724,1.7365699140803055,2.1683540954466682,2.6252852436801333,-2.729471522545689,2.6327540501421764,,,,,,,,,,,,,,,13.72,,,,,,,,,,,,,2962654090.73,18.36,2026-05-12,False,True,True
6,300267,尔康制药,制造业-医药制造业,89.79591836734694,1.8504330506655664,2.7025991235837896,1.9409382257154375,2.3827015464790815,2.392406805032004,-3.0436016207637127,1.6588898026004402,,,,,,,,,,,,,,,14.55,,,,,,,,,,,,,1015781809.04,4.84,2026-05-12,False,True,True
7,002536,飞龙股份,制造业-汽车制造业,87.75510204081633,1.8386882282557084,2.3198150339689487,2.5797742871268383,2.428997920295262,1.9978736484756126,-1.8257500928262087,2.1267924024525175,,,,,,,,,,,,,,,9.54,,,,,,,,,,,,,2341043859.58,46.49,2026-05-12,False,True,True
8,603777,来伊份,批发和零售业-零售业,85.71428571428571,1.8033477587447893,2.7397613482318977,2.2492406948429555,2.5337426738085416,1.899537325976198,-2.86390023203694,1.9814793442104988,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,495226662.0,19.85,2026-05-12,False,True,True
9,300285,国瓷材料,制造业-化学原料和化学制品制造业,83.6734693877551,1.7668278800832224,2.489125210571936,1.6736023942445244,2.1466056277144228,2.0397824169445666,-2.171253396235093,2.6395755254483726,,,,,,,,,,,,,,,8.75,,,,,,,,,,,,,2979842466.73,41.01,2026-05-12,False,True,True
10,300113,顺网科技,信息传输、软件和信息技术服务业-互联网和相关服务,81.63265306122449,1.7656913916039338,2.852114369507167,1.8456315747996475,2.4293915957300087,2.235006314360636,-3.9928138227873258,1.9227727865634832,,,,,,,,,,,,,,,16.44,,,,,,,,,,,,,2398494417.63,29.04,2026-05-12,False,True,True
11,300687,赛意信息,信息传输、软件和信息技术服务业-软件和信息技术服务业,79.59183673469387,1.7424955096313375,2.70724847631428,2.3566304472208697,2.5599889040950474,1.8405025308057148,-2.9779403153976634,1.372058156243735,,,,,,,,,,,,,,,13.96,,,,,,,,,,,,,1420018970.61,31.79,2026-05-12,False,True,True
12,002015,协鑫能科,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业,77.55102040816327,1.734230422171107,2.0578689203552076,2.426191702839388,2.212564488998563,2.111904449702129,-2.1711133062520256,2.459825928273164,,,,,,,,,,,,,,,14.96,,,,,,,,,,,,,5111990460.01,21.26,2026-05-12,False,True,True
13,300683,海特生物,制造业-医药制造业,75.51020408163265,1.7304201160092794,2.519122691535382,1.8037100448309764,2.2186493799195315,2.111543631268315,-2.133286947631819,1.0737581905927551,,,,,,,,,,,,,,,13.83,,,,,,,,,,,,,644019224.04,38.43,2026-05-12,False,True,True
